event_id,user_id,event_type,timestamp,date,hour,platform,app_version,session_id,screen,duration_sec
E4000000,U16583,share,2026-04-22 15:21:18,2026-04-22,15,Web,1.3.0,SES46344,详情,52.1
E4000001,U44676,page_view,2026-04-08 15:14:08,2026-04-08,15,iOS,1.0.0,SES72084,我的,15.2
E4000002,U38327,page_view,2026-04-21 16:26:29,2026-04-21,16,Android,1.2.0,SES95948,我的,0.8
E4000003,U32725,page_view,2026-04-19 08:34:44,2026-04-19,8,Web,1.1.0,SES60499,详情,26.8
E4000004,U4404,app_open,2026-04-02 06:44:30,2026-04-02,6,Web,1.0.0,SES47955,详情,11.1
E4000005,U36434,page_view,2026-04-08 09:04:37,2026-04-08,9,Web,1.1.0,SES80200,搜索,2.8
E4000006,U23622,share,2026-04-05 00:42:09,2026-04-05,0,Android,1.3.0,SES12214,详情,2.1
E4000007,U6351,click,2026-04-27 23:56:18,2026-04-27,23,Web,1.1.0,SES70361,搜索,37.0
E4000008,U12072,click,2026-04-03 14:22:49,2026-04-03,14,Android,1.1.0,SES17252,购物车,48.0
E4000009,U20457,share,2026-04-03 09:19:13,2026-04-03,9,Android,1.0.0,SES97975,设置,6.2
E4000010,U12281,click,2026-04-27 00:30:59,2026-04-27,0,Web,1.1.0,SES31292,首页,4.3
E4000011,U31084,page_view,2026-04-30 19:30:19,2026-04-30,19,iOS,1.3.0,SES67401,我的,1.9
E4000012,U17695,page_view,2026-04-06 07:02:22,2026-04-06,7,Android,1.2.0,SES98908,我的,1.3
E4000013,U11240,purchase,2026-04-29 20:59:52,2026-04-29,20,Android,1.0.0,SES48507,首页,15.1
E4000014,U14351,page_view,2026-04-23 01:19:03,2026-04-23,1,Android,1.0.0,SES67622,购物车,8.1
E4000015,U10673,page_view,2026-04-14 19:55:06,2026-04-14,19,Android,1.1.0,SES40012,购物车,106.0
E4000016,U6142,page_view,2026-04-05 22:32:39,2026-04-05,22,iOS,1.1.0,SES55382,搜索,54.3
E4000017,U9018,page_view,2026-04-24 15:11:36,2026-04-24,15,Android,1.2.0,SES89210,详情,3.7
E4000018,U21877,app_open,2026-04-08 09:24:07,2026-04-08,9,Android,1.1.0,SES94937,首页,43.0
E4000019,U12076,page_view,2026-04-22 21:22:57,2026-04-22,21,iOS,1.1.0,SES85098,首页,0.4
E4000020,U40657,click,2026-04-30 01:09:18,2026-04-30,1,Android,1.3.0,SES25817,首页,68.6
E4000021,U46185,page_view,2026-04-11 05:55:27,2026-04-11,5,iOS,1.3.0,SES83672,设置,2.6
E4000022,U36176,page_view,2026-04-16 13:02:19,2026-04-16,13,Android,1.3.0,SES47944,设置,0.7
E4000023,U9510,click,2026-04-14 05:17:56,2026-04-14,5,iOS,1.1.0,SES11226,设置,11.4
E4000024,U33100,app_open,2026-04-05 18:09:41,2026-04-05,18,iOS,1.2.0,SES92403,详情,33.1
E4000025,U34856,purchase,2026-04-07 22:38:04,2026-04-07,22,Web,1.3.0,SES11231,搜索,6.8
E4000026,U7778,click,2026-04-24 12:50:16,2026-04-24,12,iOS,1.3.0,SES90641,我的,34.1
E4000027,U1096,click,2026-04-19 13:17:04,2026-04-19,13,iOS,1.1.0,SES81196,首页,7.7
E4000028,U25545,logout,2026-04-05 04:30:20,2026-04-05,4,Android,1.3.0,SES37120,搜索,1.1
E4000029,U11598,page_view,2026-04-02 07:49:19,2026-04-02,7,iOS,1.1.0,SES40078,购物车,55.6
E4000030,U22347,page_view,2026-04-11 05:34:31,2026-04-11,5,iOS,1.2.0,SES87917,我的,57.2
E4000031,U9769,search,2026-04-06 05:03:35,2026-04-06,5,Android,1.0.0,SES18126,购物车,37.7
E4000032,U49490,click,2026-04-06 11:17:18,2026-04-06,11,Android,1.0.0,SES98777,我的,52.3
E4000033,U13428,click,2026-04-25 14:42:20,2026-04-25,14,Web,1.1.0,SES50910,设置,6.5
E4000034,U24484,page_view,2026-04-06 21:33:43,2026-04-06,21,Web,1.2.0,SES52384,详情,72.9
E4000035,U36318,search,2026-04-01 22:37:28,2026-04-01,22,iOS,1.3.0,SES98181,搜索,5.6
E4000036,U5848,page_view,2026-04-05 20:38:10,2026-04-05,20,iOS,1.3.0,SES38551,首页,131.7
E4000037,U43882,search,2026-04-11 07:53:20,2026-04-11,7,iOS,1.2.0,SES84098,设置,1.8
E4000038,U25646,app_open,2026-04-16 08:33:17,2026-04-16,8,iOS,1.2.0,SES91296,详情,3.7
E4000039,U14339,click,2026-04-16 07:02:55,2026-04-16,7,iOS,1.3.0,SES16248,搜索,16.6
E4000040,U23345,click,2026-04-14 02:37:58,2026-04-14,2,Web,1.1.0,SES73364,详情,24.9
E4000041,U19166,click,2026-04-12 10:52:22,2026-04-12,10,Android,1.1.0,SES10360,设置,23.0
E4000042,U32579,purchase,2026-04-02 01:58:23,2026-04-02,1,Android,1.3.0,SES66440,设置,1.7
E4000043,U16907,app_open,2026-04-27 16:27:18,2026-04-27,16,iOS,1.0.0,SES41707,搜索,37.8
E4000044,U15135,click,2026-04-09 20:13:53,2026-04-09,20,Android,1.2.0,SES72105,购物车,2.1
E4000045,U10003,app_open,2026-04-01 07:57:50,2026-04-01,7,Android,1.1.0,SES69008,我的,6.7
E4000046,U13189,page_view,2026-04-06 09:59:10,2026-04-06,9,Web,1.3.0,SES48605,我的,74.2
E4000047,U38818,page_view,2026-04-01 12:00:21,2026-04-01,12,Web,1.1.0,SES24800,我的,29.1
E4000048,U17898,register,2026-04-08 12:15:41,2026-04-08,12,iOS,1.3.0,SES47440,购物车,6.9
E4000049,U35513,app_open,2026-04-20 02:03:38,2026-04-20,2,iOS,1.2.0,SES51006,详情,17.6
E4000050,U49343,logout,2026-04-11 16:44:54,2026-04-11,16,Android,1.2.0,SES12805,详情,0.4
E4000051,U45177,page_view,2026-04-22 05:09:14,2026-04-22,5,Web,1.2.0,SES31609,搜索,47.2
E4000052,U20230,page_view,2026-04-20 06:44:33,2026-04-20,6,Android,1.2.0,SES27899,搜索,35.4
E4000053,U18988,page_view,2026-04-24 02:00:16,2026-04-24,2,Android,1.1.0,SES47107,我的,122.2
E4000054,U9702,page_view,2026-04-21 05:31:06,2026-04-21,5,iOS,1.1.0,SES30112,设置,33.7
E4000055,U44294,app_open,2026-04-29 23:29:07,2026-04-29,23,Web,1.2.0,SES84199,搜索,24.0
E4000056,U38318,app_open,2026-04-30 17:29:46,2026-04-30,17,Web,1.3.0,SES65629,搜索,4.4
E4000057,U39862,page_view,2026-04-19 00:20:21,2026-04-19,0,Web,1.1.0,SES22224,详情,0.4
E4000058,U49039,app_open,2026-04-12 19:56:05,2026-04-12,19,iOS,1.0.0,SES63219,首页,17.9
E4000059,U12683,click,2026-04-06 23:03:09,2026-04-06,23,Web,1.3.0,SES38992,我的,7.0
E4000060,U9716,click,2026-04-23 13:24:03,2026-04-23,13,Web,1.3.0,SES50868,购物车,41.6
E4000061,U31663,page_view,2026-04-02 23:36:56,2026-04-02,23,Web,1.1.0,SES10286,首页,26.1
E4000062,U4264,click,2026-04-22 15:40:06,2026-04-22,15,Web,1.1.0,SES32424,首页,8.2
E4000063,U30656,app_open,2026-04-30 22:50:09,2026-04-30,22,Android,1.2.0,SES44549,首页,5.8
E4000064,U40400,click,2026-04-03 12:26:32,2026-04-03,12,Android,1.0.0,SES83656,我的,7.1
E4000065,U37809,page_view,2026-04-26 08:18:08,2026-04-26,8,Android,1.0.0,SES59184,设置,3.7
E4000066,U48834,page_view,2026-04-17 22:29:57,2026-04-17,22,iOS,1.0.0,SES80643,详情,72.6
E4000067,U19675,search,2026-04-06 05:09:47,2026-04-06,5,Web,1.0.0,SES57590,购物车,1.1
E4000068,U29709,search,2026-04-19 12:39:31,2026-04-19,12,Android,1.1.0,SES21093,设置,40.0
E4000069,U33452,page_view,2026-04-01 15:13:59,2026-04-01,15,Android,1.0.0,SES22420,我的,28.1
E4000070,U47236,logout,2026-04-01 20:51:13,2026-04-01,20,Android,1.0.0,SES87400,首页,16.4
E4000071,U23858,page_view,2026-04-13 17:42:48,2026-04-13,17,Web,1.2.0,SES22428,设置,25.8
E4000072,U29525,search,2026-04-15 04:15:39,2026-04-15,4,Web,1.3.0,SES26194,购物车,14.8
E4000073,U37929,page_view,2026-04-22 03:47:59,2026-04-22,3,iOS,1.1.0,SES94280,详情,19.5
E4000074,U33281,click,2026-04-04 07:03:21,2026-04-04,7,iOS,1.1.0,SES18117,购物车,99.9
E4000075,U38130,page_view,2026-04-06 14:28:55,2026-04-06,14,Android,1.2.0,SES68501,设置,96.0
E4000076,U37707,page_view,2026-04-21 02:15:47,2026-04-21,2,Web,1.1.0,SES19806,详情,16.4
E4000077,U26136,page_view,2026-04-28 20:21:08,2026-04-28,20,Android,1.1.0,SES94007,详情,31.0
E4000078,U33030,app_open,2026-04-29 20:04:04,2026-04-29,20,Android,1.0.0,SES51329,购物车,12.9
E4000079,U41569,click,2026-04-12 08:32:17,2026-04-12,8,Android,1.3.0,SES84919,我的,22.2
E4000080,U12803,search,2026-04-10 05:51:45,2026-04-10,5,Web,1.3.0,SES43781,设置,45.3
E4000081,U26532,search,2026-04-19 12:12:36,2026-04-19,12,iOS,1.0.0,SES50664,详情,2.0
E4000082,U46202,page_view,2026-04-27 22:40:43,2026-04-27,22,Android,1.0.0,SES39997,详情,25.1
E4000083,U17221,page_view,2026-04-30 20:31:47,2026-04-30,20,iOS,1.3.0,SES18394,设置,38.5
E4000084,U11238,page_view,2026-04-14 00:30:26,2026-04-14,0,Web,1.2.0,SES22368,详情,1.8
E4000085,U32596,app_open,2026-04-21 02:10:07,2026-04-21,2,Web,1.1.0,SES36332,详情,21.4
E4000086,U10185,page_view,2026-04-20 17:45:21,2026-04-20,17,Android,1.3.0,SES57506,购物车,109.2
E4000087,U11113,click,2026-04-08 02:29:20,2026-04-08,2,iOS,1.3.0,SES49616,首页,2.3
E4000088,U18666,page_view,2026-04-23 22:25:26,2026-04-23,22,iOS,1.0.0,SES17807,我的,20.2
