customer_id,customer_name,industry,region,contract_value,signed_date,renewal_date,last_contact_date,churn_risk,account_manager_id,status,nps_score
C1000,客户-0000,能源,东北,283.18,2022-10-27,2023-10-27,2023-03-11,low,AM87,active,100
C1001,客户-0001,零售,华北,285.43,2021-02-21,2022-02-21,2023-11-18,low,AM119,active,0
C1002,客户-0002,物流,华中,484.37,2020-10-29,2021-10-29,2024-09-14,med,AM94,active,-50
C1003,客户-0003,教育,华东,360.98,2021-05-16,2022-05-16,2021-12-20,med,AM137,active,50
C1004,客户-0004,制造,华东,445.05,2024-05-11,2025-05-11,2026-10-19,low,AM56,active,0
C1005,客户-0005,教育,西南,984.25,2020-06-06,2021-06-06,2021-11-14,med,AM55,renewing,50
C1006,客户-0006,金融,华中,539.71,2020-04-30,2021-04-30,2021-09-14,low,AM126,active,0
C1007,客户-0007,金融,东北,289.46,2020-02-06,2021-02-05,2022-05-01,low,AM102,active,50
C1008,客户-0008,交通,华中,133.33,2021-06-23,2022-06-23,2025-04-23,low,AM134,active,-50
C1009,客户-0009,政企,华南,378.85,2023-06-12,2024-06-11,2025-11-20,low,AM123,active,50
C1010,客户-0010,政企,西南,718.92,2023-03-27,2024-03-26,2025-02-22,med,AM104,active,0
C1011,客户-0011,电信,东北,435.39,2024-09-04,2025-09-04,2028-01-05,med,AM80,active,100
C1012,客户-0012,教育,华东,54.75,2025-03-21,2026-03-21,2029-03-16,low,AM62,active,50
C1013,客户-0013,物流,东北,30.52,2021-10-30,2022-10-30,2025-07-29,high,AM98,active,-50
C1014,客户-0014,政企,华中,203.24,2024-04-22,2025-04-22,2025-04-08,low,AM127,active,0
C1015,客户-0015,医疗,东北,477.31,2023-03-18,2024-03-17,2023-06-21,low,AM111,active,-100
C1016,客户-0016,物流,华东,923.27,2022-09-21,2023-09-21,2023-03-30,low,AM81,active,100
C1017,客户-0017,教育,华北,1576.54,2023-08-04,2024-08-03,2023-11-14,med,AM101,active,0
C1018,客户-0018,物流,华中,382.49,2023-03-05,2024-03-04,2023-09-03,high,AM62,active,50
C1019,客户-0019,交通,华南,291.1,2020-02-21,2021-02-20,2021-01-04,low,AM100,active,100
C1020,客户-0020,零售,华南,49.72,2020-10-22,2021-10-22,2021-01-25,med,AM146,active,0
C1021,客户-0021,医疗,华北,411.45,2023-08-04,2024-08-03,2025-03-22,low,AM76,active,-50
C1022,客户-0022,教育,华中,333.46,2020-02-16,2021-02-15,2023-04-13,low,AM146,active,-50
C1023,客户-0023,医疗,华中,1092.13,2023-08-24,2024-08-23,2023-11-24,low,AM145,active,0
