employee_id,bu_id,department,skill_tags,has_ai_skill,cert_count,has_cert,main_cert,hire_date,tenure_years,manager_id,performance_score,salary_band,region,gender,age,is_active,leave_date
E10000,BU-2,研发,React,0,0,0,,2023-12-16,0.61,M185,3.73,P3,华北,女,29,1,
E10001,BU-1,研发,运营,0,2,1,ACP,2021-08-28,4.13,M190,3.84,P4,西南,女,40,1,
E10002,BU-4,运营,Spark|Java|React|AI/ML,1,0,0,,2021-03-30,1.42,M145,3.04,P4,西南,男,36,1,
E10003,BU-1,销售,Go|Java|审计,0,0,0,,2022-03-24,13.51,M128,4.16,P6,西南,男,40,1,
E10004,BU-5,运营,K8s,0,3,1,CFA,2020-08-23,11.6,M105,4.84,P7,西南,女,30,1,
E10005,BU-1,运营,K8s|运营|AI/ML,1,0,0,,2020-11-20,1.37,M142,2.92,P4,华中,男,28,1,
E10006,BU-5,财务,运营|BD|审计,0,0,0,,2020-01-29,2.46,M103,2.99,P3,东北,男,41,1,
E10007,BU-1,销售,K8s|PM,0,0,0,,2020-02-07,15.25,M162,3.64,P3,西南,男,31,1,
E10008,BU-4,产品,AI/ML|Java,1,0,0,,2020-07-19,1.4,M149,2.93,P4,东北,女,26,1,
E10009,BU-5,产品,React,0,1,1,ACP,2021-03-25,5.25,M178,4.09,P5,华北,男,39,1,
E10010,BU-4,运营,Spark,0,0,0,,2020-08-30,1.74,M110,3.53,P4,西南,女,30,1,
E10011,BU-2,产品,运营,0,0,0,,2024-07-03,0.86,M175,4.42,P7,东北,男,39,0,
E10012,BU-3,研发,财务|AI/ML|Go,1,2,1,PMP,2024-01-30,0.69,M118,2.84,P3,东北,女,29,0,
E10013,BU-2,运营,审计|Java|AI/ML,1,0,0,,2022-03-19,3.82,M127,3.14,P7,华南,女,22,1,
E10014,BU-4,产品,Java|运营,0,0,0,,2024-01-18,15.54,M102,2.54,P7,华中,男,36,1,
E10015,BU-3,研发,审计|Go|财务,0,0,0,,2024-10-21,4.46,M134,2.77,P7,华中,女,31,1,
E10016,BU-3,运营,财务,0,0,0,,2022-01-12,10.85,M157,3.75,P4,华南,男,34,1,
E10017,BU-4,财务,Spark,0,2,1,CFA,2021-03-07,4.93,M125,3.69,P3,华中,女,35,1,
E10018,BU-4,销售,PM,0,0,0,,2024-02-25,10.73,M156,2.27,P6,西南,女,40,1,
E10019,BU-5,运营,React,0,0,0,,2024-05-12,4.9,M181,3.61,P5,西南,女,41,1,
E10020,BU-1,客服,AI/ML|BD|React,1,0,0,,2023-01-12,6.1,M107,3.23,P4,华东,男,29,1,
E10021,BU-6,市场,BD|Spark|Python|React,0,0,0,,2020-03-24,6.52,M124,3.25,P6,华中,女,24,1,
E10022,BU-6,HR,Java,0,0,0,,2022-09-24,1.88,M146,3.25,P7,华东,女,33,1,
E10023,BU-4,HR,运营|AI/ML|财务,1,0,0,,2024-10-01,4.76,M126,3.27,P7,华东,女,33,1,
E10024,BU-6,运营,React|财务|Java|BD,0,0,0,,2022-03-03,1.33,M155,3.03,P4,东北,女,44,1,
E10025,BU-5,产品,PM|BD|Go|AI/ML,1,0,0,,2020-12-31,4.13,M161,3.23,P6,华北,女,31,1,
E10026,BU-3,销售,审计|Go,0,0,0,,2022-10-17,2.77,M158,3.39,P4,华北,女,22,1,
E10027,BU-3,销售,审计,0,0,0,,2024-11-02,7.73,M136,3.33,P5,华北,男,45,1,
E10028,BU-1,运营,K8s|PM,0,0,0,,2024-02-24,0.79,M148,3.43,P3,东北,女,42,1,
E10029,BU-5,产品,Python|PM,0,2,1,K8s-CKA,2023-09-14,2.47,M102,3.03,P6,华北,女,36,1,
E10030,BU-4,HR,Java|Python|AI/ML|Go,1,0,0,,2022-08-05,3.4,M154,3.94,P6,华东,男,25,1,
E10031,BU-3,运营,Spark|AI/ML,1,0,0,,2022-03-27,2.2,M169,5.0,P4,华中,男,47,1,
E10032,BU-3,市场,Java|财务,0,0,0,,2021-12-22,0.18,M115,3.7,P4,华东,女,35,1,
E10033,BU-3,客服,审计|BD,0,0,0,,2020-05-09,2.57,M169,4.04,P5,华中,女,27,1,
E10034,BU-3,运营,Go,0,0,0,,2021-04-16,0.17,M121,3.72,P3,西南,男,42,1,
E10035,BU-3,财务,AI/ML|React|Python,1,0,0,,2020-04-02,1.98,M121,4.72,P4,华北,女,32,1,
E10036,BU-4,市场,Python,0,3,1,ACP,2024-01-14,0.17,M174,3.56,P7,华南,女,41,1,
E10037,BU-6,运营,Go|AI/ML,1,0,0,,2021-08-12,7.14,M134,3.15,P6,华东,女,29,1,
E10038,BU-2,客服,BD|Spark|Java|Go,0,0,0,,2024-03-12,0.1,M182,4.59,P5,华东,男,26,1,
E10039,BU-2,产品,运营|财务|K8s|BD,0,0,0,,2022-04-28,1.52,M119,4.21,P6,东北,女,25,1,
E10040,BU-5,市场,AI/ML,1,0,0,,2021-05-04,1.46,M172,4.21,P5,西南,女,31,1,
E10041,BU-3,市场,审计|Spark|Java,0,1,1,K8s-CKA,2021-03-01,7.6,M138,3.83,P4,华中,男,42,1,
E10042,BU-5,运营,AI/ML,1,2,1,AWS,2022-06-10,1.95,M123,3.27,P3,华中,女,43,1,
E10043,BU-5,产品,运营|Spark|AI/ML,1,0,0,,2020-12-05,0.11,M100,3.32,P5,华东,男,38,1,
E10044,BU-1,市场,运营|Go,0,0,0,,2024-11-26,0.7,M195,4.13,P7,西南,女,44,1,
E10045,BU-4,运营,K8s|Java,0,0,0,,2021-04-10,1.35,M192,2.93,P4,华东,女,34,1,
E10046,BU-4,HR,PM|AI/ML|BD|运营,1,0,0,,2020-02-19,10.84,M145,4.31,P4,华东,女,39,1,
E10047,BU-1,运营,BD|Python|React|PM,0,0,0,,2020-08-09,6.93,M191,5.0,P3,华北,女,22,1,
E10048,BU-6,销售,React,0,0,0,,2023-02-21,4.07,M185,2.56,P6,东北,男,38,1,
E10049,BU-1,运营,Spark|审计|Java,0,0,0,,2024-08-19,1.11,M172,2.55,P5,华中,女,33,1,
E10050,BU-5,研发,Spark|PM|Java,0,0,0,,2022-12-26,0.1,M180,3.74,P3,东北,女,25,1,
E10051,BU-1,产品,PM,0,0,0,,2022-11-01,4.13,M168,3.18,P3,华南,男,28,1,
E10052,BU-5,研发,Java|BD|React,0,2,1,CFA,2022-06-26,2.9,M123,3.61,P5,华南,女,31,1,
E10053,BU-6,产品,Go|Java,0,0,0,,2021-12-06,1.64,M198,3.24,P5,西南,女,35,1,
E10054,BU-2,运营,K8s|AI/ML|PM,1,0,0,,2020-12-19,7.19,M176,4.11,P4,华东,男,34,1,
E10055,BU-5,客服,React,0,0,0,,2024-07-16,11.93,M150,3.25,P6,华东,男,40,1,
E10056,BU-4,市场,BD|财务|运营,0,0,0,,2022-04-29,0.44,M168,3.81,P6,华中,男,32,1,
E10057,BU-2,运营,React|Java,0,0,0,,2023-05-30,8.26,M132,3.1,P3,华北,女,27,1,
E10058,BU-1,客服,审计,0,0,0,,2022-07-03,5.48,M110,3.37,P5,华东,女,22,1,
E10059,BU-2,运营,React|PM|Go|运营,0,3,1,K8s-CKA,2022-10-31,2.18,M170,3.21,P5,华南,男,33,1,
E10060,BU-3,客服,Python|BD,0,0,0,,2022-01-03,2.71,M179,3.59,P7,华中,男,44,0,
E10061,BU-1,市场,Go|Python|Java,0,1,1,Oracle DBA,2024-05-18,9.93,M136,4.02,P5,东北,男,22,1,
E10062,BU-2,研发,Java|BD|运营|Spark,0,1,1,CFA,2023-02-10,4.54,M177,3.25,P4,华中,女,46,1,
E10063,BU-6,财务,React|审计|Spark|Python,0,0,0,,2020-09-20,2.64,M141,3.95,P5,华东,女,36,1,
E10064,BU-5,运营,AI/ML,1,0,0,,2021-12-15,2.14,M172,3.36,P7,西南,男,37,1,
E10065,BU-1,HR,运营|React,0,0,0,,2020-09-25,1.91,M184,3.78,P5,华南,男,32,1,
E10066,BU-1,销售,运营,0,0,0,,2022-11-01,1.1,M181,2.89,P3,华北,女,25,1,
E10067,BU-1,销售,Go|BD,0,0,0,,2024-05-22,7.61,M171,4.57,P4,华中,女,22,1,
E10068,BU-2,研发,财务|Python|PM|Go,0,0,0,,2021-10-01,2.44,M121,3.09,P3,东北,女,22,1,
E10069,BU-5,运营,Java|运营,0,0,0,,2020-04-26,6.4,M107,3.68,P4,华东,女,29,1,
E10070,BU-5,研发,财务|Go|React,0,2,1,TensorFlow,2022-03-11,1.97,M112,3.77,P4,华中,男,27,1,
E10071,BU-5,财务,Java,0,0,0,,2021-09-07,0.6,M100,3.07,P4,华南,女,42,1,
E10072,BU-4,产品,BD,0,0,0,,2023-04-11,0.84,M161,3.36,P7,华南,女,29,1,
E10073,BU-6,产品,React|Java|财务,0,0,0,,2022-11-04,8.1,M119,4.42,P6,华南,女,38,1,
E10074,BU-4,HR,Go|Java|审计,0,0,0,,2024-08-17,2.96,M107,4.47,P4,华南,男,54,1,
E10075,BU-2,客服,Go|运营|Spark|PM,0,0,0,,2021-08-14,10.54,M179,4.01,P3,华北,男,35,1,
E10076,BU-1,研发,React|财务,0,1,1,TensorFlow,2022-01-07,1.8,M108,3.51,P5,东北,男,26,1,
E10077,BU-2,运营,Spark|Python,0,3,1,Oracle DBA,2023-12-01,4.55,M137,3.62,P5,西南,女,26,1,
E10078,BU-3,财务,财务|Go|K8s|Spark,0,0,0,,2024-09-18,0.95,M148,2.98,P4,西南,女,35,1,
E10079,BU-6,研发,React|Go,0,0,0,,2021-10-21,2.74,M193,2.82,P6,东北,男,34,1,
E10080,BU-5,研发,审计|K8s|Go|运营,0,0,0,,2023-12-11,0.9,M118,4.11,P3,西南,女,24,1,
E10081,BU-5,HR,运营,0,0,0,,2021-09-29,2.06,M134,3.81,P3,东北,女,30,1,
E10082,BU-3,市场,Go,0,0,0,,2024-04-08,1.1,M192,3.44,P3,东北,男,35,1,
E10083,BU-1,财务,Spark,0,0,0,,2021-12-03,1.84,M176,3.75,P4,东北,男,32,1,
E10084,BU-6,财务,AI/ML,1,0,0,,2020-01-08,9.54,M152,3.59,P5,华中,男,38,1,
E10085,BU-4,研发,Spark|运营|BD|审计,0,0,0,,2020-04-30,1.57,M175,2.88,P3,华中,男,24,1,
E10086,BU-4,销售,运营|Python,0,0,0,,2021-10-20,3.04,M184,3.63,P4,东北,女,39,1,
E10087,BU-5,研发,PM,0,0,0,,2024-03-10,11.06,M116,3.91,P6,华北,男,36,1,
E10088,BU-2,市场,Go|React|Java|审计,0,0,0,,2023-09-30,8.33,M137,3.83,P5,华东,女,36,0,
E10089,BU-3,市场,Java,0,0,0,,2020-01-13,1.15,M160,2.81,P6,华东,男,36,1,
E10090,BU-1,销售,AI/ML|审计,1,0,0,,2021-03-18,2.36,M123,3.07,P4,东北,男,36,1,
E10091,BU-1,产品,K8s|BD,0,0,0,,2024-05-27,2.24,M133,4.33,P5,华中,女,39,1,
E10092,BU-6,客服,Go|运营|BD,0,0,0,,2022-06-10,0.11,M182,3.46,P6,西南,男,40,1,
E10093,BU-5,财务,AI/ML|Go,1,0,0,,2021-04-08,0.95,M120,3.84,P4,华东,女,31,1,
E10094,BU-5,客服,财务|Go|Python,0,0,0,,2020-05-04,9.89,M133,3.88,P5,西南,女,29,1,
E10095,BU-4,运营,React|BD|Python,0,0,0,,2021-07-28,2.72,M162,3.88,P7,华北,女,30,1,
E10096,BU-4,财务,审计|运营,0,3,1,PMP,2022-01-23,1.33,M185,4.19,P6,华北,女,23,1,
E10097,BU-4,产品,财务|React,0,0,0,,2022-02-09,6.37,M196,3.99,P5,华东,女,31,1,
E10098,BU-6,产品,审计|Go|PM|BD,0,0,0,,2022-09-07,9.82,M134,3.62,P5,华北,男,29,1,
E10099,BU-6,客服,运营|Java,0,0,0,,2021-05-23,3.27,M126,4.3,P3,华南,女,35,1,
E10100,BU-2,市场,审计|Java|K8s|Go,0,1,1,Oracle DBA,2023-06-10,0.57,M114,3.04,P5,西南,女,28,1,
E10101,BU-2,市场,运营|财务|Java|Go,0,0,0,,2023-10-05,5.79,M166,4.25,P6,西南,男,39,1,
E10102,BU-1,运营,React|PM|AI/ML,1,0,0,,2023-02-05,0.98,M114,3.63,P4,华南,女,31,1,
E10103,BU-3,客服,Python|运营,0,0,0,,2023-10-08,1.03,M187,3.18,P5,华北,女,44,1,
E10104,BU-2,HR,Spark|财务|审计|Python,0,0,0,,2022-06-29,11.09,M155,3.54,P6,华南,女,41,1,
E10105,BU-4,研发,BD|PM,0,0,0,,2021-01-11,1.12,M180,2.53,P6,东北,男,32,1,
E10106,BU-6,销售,审计,0,0,0,,2020-04-03,1.61,M145,3.17,P4,华北,女,39,1,
E10107,BU-1,运营,Go|K8s,0,1,1,CFA,2022-01-31,0.62,M121,4.63,P7,华北,男,29,1,
E10108,BU-3,市场,运营,0,0,0,,2022-07-21,0.7,M184,3.42,P5,东北,女,40,1,
E10109,BU-2,研发,运营|Java,0,0,0,,2022-05-31,14.33,M165,3.54,P3,华东,男,23,1,
E10110,BU-2,客服,财务,0,0,0,,2024-03-12,9.96,M134,3.13,P6,东北,女,27,0,
E10111,BU-4,市场,Java|PM|React,0,0,0,,2022-12-10,1.95,M194,3.12,P4,东北,女,22,1,
E10112,BU-5,财务,Python,0,1,1,ACP,2023-01-14,0.66,M186,2.36,P4,华东,男,29,1,
E10113,BU-6,财务,审计|K8s|运营,0,0,0,,2024-03-21,0.1,M101,3.45,P6,华北,男,35,1,
E10114,BU-6,市场,财务|K8s|React,0,0,0,,2020-05-01,1.29,M127,3.63,P6,华南,女,37,1,
E10115,BU-3,客服,React|K8s|AI/ML,1,0,0,,2020-03-15,0.62,M162,3.19,P5,华中,男,23,0,
E10116,BU-5,研发,React|审计|Go,0,0,0,,2021-03-24,12.1,M161,4.35,P5,东北,男,36,1,
E10117,BU-3,财务,Go|运营|BD,0,0,0,,2022-07-09,11.05,M100,2.26,P5,华中,女,22,1,
E10118,BU-4,财务,K8s|Spark|审计|财务,0,0,0,,2020-10-05,0.88,M112,3.89,P7,华东,男,26,1,
E10119,BU-2,研发,Java|PM|Spark|React,0,0,0,,2024-01-26,0.4,M123,3.52,P4,华东,男,33,1,
E10120,BU-1,销售,运营|Java|Go,0,0,0,,2024-07-20,0.2,M167,4.04,P4,华中,女,33,1,
E10121,BU-1,运营,BD|Python|PM,0,0,0,,2020-03-11,0.76,M168,4.23,P5,华中,男,41,1,
E10122,BU-4,财务,React,0,0,0,,2020-09-24,3.23,M121,2.9,P3,华中,男,33,1,
