dept_id,dept_name,month,year,period,category,budget,actual,variance,variance_pct
D01,研发部,1,2024,2024Q1,人力成本,1244.3,1095.9,-148.4,-11.93
D01,研发部,2,2024,2024Q1,其他,638.0,697.6,59.6,9.34
D01,研发部,3,2024,2024Q1,外包,279.4,237.8,-41.6,-14.89
D01,研发部,4,2024,2024Q2,人力成本,1448.1,1405.7,-42.4,-2.93
D01,研发部,5,2024,2024Q2,其他,1050.8,910.8,-140.0,-13.32
D01,研发部,6,2024,2024Q2,外包,948.0,967.8,19.8,2.09
D01,研发部,7,2024,2024Q3,差旅,222.9,238.2,15.3,6.86
D01,研发部,8,2024,2024Q3,人力成本,1055.6,919.9,-135.7,-12.86
D01,研发部,9,2024,2024Q3,其他,276.8,236.1,-40.7,-14.7
D01,研发部,10,2024,2024Q4,设备,203.5,190.2,-13.3,-6.54
D01,研发部,11,2024,2024Q4,其他,1138.6,1178.5,39.9,3.5
D01,研发部,12,2024,2024Q4,差旅,591.5,552.3,-39.2,-6.63
D01,研发部,1,2025,2025Q1,外包,331.3,348.6,17.3,5.22
D01,研发部,2,2025,2025Q1,外包,366.6,382.6,16.0,4.36
D01,研发部,3,2025,2025Q1,外包,1388.3,1292.1,-96.2,-6.93
D01,研发部,4,2025,2025Q2,人力成本,1497.9,1433.8,-64.1,-4.28
D01,研发部,5,2025,2025Q2,其他,509.0,486.9,-22.1,-4.34
D01,研发部,6,2025,2025Q2,差旅,1091.0,1006.7,-84.3,-7.73
D01,研发部,7,2025,2025Q3,营销,1470.0,1403.0,-67.0,-4.56
D01,研发部,8,2025,2025Q3,其他,1106.2,1081.5,-24.7,-2.23
D01,研发部,9,2025,2025Q3,差旅,1269.4,1159.4,-110.0,-8.67
D01,研发部,10,2025,2025Q4,设备,674.6,681.5,6.9,1.02
D01,研发部,11,2025,2025Q4,差旅,1337.3,1265.6,-71.7,-5.36
D01,研发部,12,2025,2025Q4,外包,1045.4,1005.2,-40.2,-3.85
D01,研发部,1,2026,2026Q1,营销,424.3,488.8,64.5,15.2
D01,研发部,2,2026,2026Q1,设备,1468.9,1701.8,232.9,15.86
D01,研发部,3,2026,2026Q1,设备,1363.2,1585.1,221.9,16.28
D02,销售部,1,2024,2024Q1,设备,1405.7,1340.8,-64.9,-4.62
D02,销售部,2,2024,2024Q1,其他,473.2,457.9,-15.3,-3.23
D02,销售部,3,2024,2024Q1,营销,685.1,625.8,-59.3,-8.66
D02,销售部,4,2024,2024Q2,营销,797.4,723.8,-73.6,-9.23
D02,销售部,5,2024,2024Q2,其他,1375.0,1221.8,-153.2,-11.14
D02,销售部,6,2024,2024Q2,设备,784.6,678.2,-106.4,-13.56
D02,销售部,7,2024,2024Q3,其他,731.7,716.0,-15.7,-2.15
D02,销售部,8,2024,2024Q3,设备,1108.6,1039.8,-68.8,-6.21
D02,销售部,9,2024,2024Q3,差旅,647.3,560.3,-87.0,-13.44
D02,销售部,10,2024,2024Q4,差旅,449.6,445.6,-4.0,-0.89
D02,销售部,11,2024,2024Q4,外包,333.7,353.0,19.3,5.78
D02,销售部,12,2024,2024Q4,人力成本,1110.6,1164.7,54.1,4.87
D02,销售部,1,2025,2025Q1,人力成本,1437.9,1503.5,65.6,4.56
D02,销售部,2,2025,2025Q1,外包,1264.1,1146.4,-117.7,-9.31
D02,销售部,3,2025,2025Q1,人力成本,298.6,292.1,-6.5,-2.18
D02,销售部,4,2025,2025Q2,人力成本,586.5,632.9,46.4,7.91
D02,销售部,5,2025,2025Q2,外包,1282.7,1208.5,-74.2,-5.78
D02,销售部,6,2025,2025Q2,外包,734.0,686.6,-47.4,-6.46
D02,销售部,7,2025,2025Q3,其他,999.5,1032.0,32.5,3.25
D02,销售部,8,2025,2025Q3,设备,1388.6,1271.7,-116.9,-8.42
D02,销售部,9,2025,2025Q3,营销,372.8,325.0,-47.8,-12.82
D02,销售部,10,2025,2025Q4,设备,732.0,639.4,-92.6,-12.65
D02,销售部,11,2025,2025Q4,营销,461.4,410.7,-50.7,-10.99
D02,销售部,12,2025,2025Q4,外包,233.2,210.2,-23.0,-9.86
D02,销售部,1,2026,2026Q1,人力成本,1131.2,1211.8,80.6,7.13
D02,销售部,2,2026,2026Q1,营销,881.1,928.9,47.8,5.43
D02,销售部,3,2026,2026Q1,外包,814.3,693.7,-120.6,-14.81
D03,市场部,1,2024,2024Q1,差旅,909.4,964.7,55.3,6.08
D03,市场部,2,2024,2024Q1,其他,242.0,253.7,11.7,4.83
D03,市场部,3,2024,2024Q1,营销,290.0,318.4,28.4,9.79
D03,市场部,4,2024,2024Q2,设备,1275.4,1260.1,-15.3,-1.2
D03,市场部,5,2024,2024Q2,差旅,800.0,724.1,-75.9,-9.49
D03,市场部,6,2024,2024Q2,其他,414.3,373.9,-40.4,-9.75
D03,市场部,7,2024,2024Q3,人力成本,994.7,846.8,-147.9,-14.87
D03,市场部,8,2024,2024Q3,营销,934.3,808.9,-125.4,-13.42
D03,市场部,9,2024,2024Q3,其他,1182.2,1118.6,-63.6,-5.38
D03,市场部,10,2024,2024Q4,营销,849.6,741.8,-107.8,-12.69
