campaign_id,campaign_name,channel,start_date,end_date,budget_wan,spend_wan,impressions,clicks,ctr_pct,conversions,cvr_pct,revenue_wan,roi
CMP1000,营销活动-0000,联盟,2025-02-07,2025-02-22,425.72,412.57,1274378,21647,1.6986,1544,7.1326,309608.9,750.44
CMP1001,营销活动-0001,短视频,2026-02-28,2026-03-25,95.2,92.24,19964,565,2.8301,16,2.8319,1432.87,15.53
CMP1002,营销活动-0002,线下,2025-08-12,2025-09-02,374.07,319.01,181798,1610,0.8856,141,8.7578,26693.31,83.68
CMP1003,营销活动-0003,信息流,2025-03-07,2025-04-03,373.43,354.98,127944,1958,1.5304,63,3.2176,9633.73,27.14
CMP1004,营销活动-0004,邮件,2025-04-23,2025-05-03,185.3,171.08,312058,2394,0.7672,231,9.6491,29174.14,170.53
CMP1005,营销活动-0005,短视频,2025-05-24,2025-06-03,115.29,114.79,44094,993,2.252,65,6.5458,18015.5,156.94
CMP1006,营销活动-0006,短视频,2025-10-20,2025-11-16,199.66,172.94,939220,22628,2.4092,2098,9.2717,473452.98,2737.67
CMP1007,营销活动-0007,邮件,2026-03-24,2026-04-07,311.4,278.27,310882,8616,2.7715,517,6.0005,111747.07,401.58
CMP1008,营销活动-0008,邮件,2025-11-13,2025-12-05,291.54,294.59,339445,7891,2.3247,203,2.5726,50810.55,172.48
CMP1009,营销活动-0009,联盟,2026-03-31,2026-04-10,95.54,87.27,264993,3084,1.1638,255,8.2685,44921.33,514.74
CMP1010,营销活动-0010,线下,2025-03-02,2025-03-14,274.79,275.73,101152,2925,2.8917,95,3.2479,14387.96,52.18
CMP1011,营销活动-0011,社交,2025-07-13,2025-08-05,159.8,150.71,3134,34,1.0849,2,5.8824,161.06,1.07
CMP1012,营销活动-0012,联盟,2025-03-19,2025-04-08,295.31,272.89,107666,2658,2.4687,167,6.2829,23126.21,84.75
CMP1013,营销活动-0013,联盟,2025-04-13,2025-04-21,308.25,294.68,451753,9956,2.2039,281,2.8224,82535.32,280.08
CMP1014,营销活动-0014,联盟,2025-10-22,2025-10-30,259.27,225.37,244777,4088,1.6701,300,7.3386,40288.78,178.77
CMP1015,营销活动-0015,联盟,2025-07-02,2025-07-10,116.06,116.71,473523,7102,1.4998,358,5.0408,83044.81,711.55
CMP1016,营销活动-0016,短视频,2026-04-09,2026-04-27,354.43,370.51,449952,9634,2.1411,595,6.176,147600.07,398.37
CMP1017,营销活动-0017,邮件,2026-02-26,2026-03-07,309.67,308.65,1172392,30526,2.6037,1837,6.0178,227725.48,737.81
CMP1018,营销活动-0018,短视频,2025-08-14,2025-08-31,256.69,244.48,195554,3158,1.6149,65,2.0583,6720.48,27.49
CMP1019,营销活动-0019,社交,2026-02-06,2026-02-16,361.7,338.25,317530,2653,0.8355,74,2.7893,13375.05,39.54
CMP1020,营销活动-0020,信息流,2025-11-30,2025-12-22,465.12,422.93,470083,4520,0.9615,108,2.3894,9708.1,22.95
CMP1021,营销活动-0021,邮件,2025-09-09,2025-09-18,497.53,429.46,820034,4550,0.5549,398,8.7473,72948.88,169.86
CMP1022,营销活动-0022,社交,2025-11-13,2025-12-08,447.08,406.43,57648,1399,2.4268,85,6.0758,23494.72,57.81
CMP1023,营销活动-0023,联盟,2025-10-28,2025-11-25,356.0,366.1,459253,11080,2.4126,674,6.083,169254.65,462.32
CMP1024,营销活动-0024,邮件,2026-01-23,2026-02-07,202.59,179.0,365735,9990,2.7315,347,3.4735,95214.08,531.92
CMP1025,营销活动-0025,短视频,2026-01-20,2026-02-15,469.99,485.84,388010,7437,1.9167,267,3.5902,38741.45,79.74
CMP1026,营销活动-0026,邮件,2025-12-24,2026-01-19,88.13,80.42,776012,16848,2.1711,557,3.306,127638.15,1587.14
CMP1027,营销活动-0027,信息流,2026-02-23,2026-03-25,193.62,196.74,741115,4337,0.5852,238,5.4877,52974.49,269.26
CMP1028,营销活动-0028,信息流,2025-11-05,2025-11-17,421.48,369.92,604298,12528,2.0731,602,4.8052,52383.64,141.61
CMP1029,营销活动-0029,邮件,2025-09-23,2025-10-20,449.86,435.99,388508,10226,2.6321,890,8.7033,84335.31,193.43
CMP1030,营销活动-0030,搜索,2025-12-20,2026-01-04,325.91,310.85,438514,10787,2.4599,761,7.0548,214573.75,690.28
CMP1031,营销活动-0031,搜索,2026-02-11,2026-02-22,151.93,149.96,148308,3359,2.2649,87,2.5901,21574.9,143.87
CMP1032,营销活动-0032,线下,2026-01-05,2026-01-14,185.77,185.58,1008837,8220,0.8148,655,7.9684,66593.14,358.84
CMP1033,营销活动-0033,短视频,2025-03-02,2025-03-27,298.56,270.77,826912,15834,1.9148,1161,7.3323,164108.74,606.08
CMP1034,营销活动-0034,搜索,2025-10-31,2025-11-10,178.09,178.48,602740,11667,1.9357,622,5.3313,100444.2,562.78
CMP1035,营销活动-0035,邮件,2026-04-25,2026-05-09,158.26,164.1,948319,15741,1.6599,620,3.9388,87617.32,533.93
CMP1036,营销活动-0036,线下,2025-07-25,2025-08-01,437.44,455.43,566123,3128,0.5525,266,8.5038,33723.58,74.05
CMP1037,营销活动-0037,线下,2025-03-13,2025-04-04,494.1,464.41,608875,14374,2.3607,692,4.8142,123604.96,266.15
CMP1038,营销活动-0038,搜索,2025-04-22,2025-05-10,479.51,481.9,196826,3800,1.9306,122,3.2105,14038.05,29.13
CMP1039,营销活动-0039,信息流,2025-02-25,2025-03-23,329.01,334.67,107013,3127,2.9221,95,3.0381,28045.11,83.8
CMP1040,营销活动-0040,短视频,2025-06-17,2025-07-05,238.41,228.31,119421,1835,1.5366,94,5.1226,27967.31,122.5
CMP1041,营销活动-0041,信息流,2025-10-31,2025-11-15,276.95,282.16,436032,7123,1.6336,506,7.1037,59361.71,210.38
CMP1042,营销活动-0042,短视频,2026-04-26,2026-05-04,199.67,198.23,694225,12203,1.7578,947,7.7604,182518.54,920.74
CMP1043,营销活动-0043,邮件,2026-02-12,2026-02-23,466.74,480.76,658548,4567,0.6935,372,8.1454,97963.39,203.77
CMP1044,营销活动-0044,社交,2025-12-04,2025-12-13,442.21,412.57,546614,7610,1.3922,505,6.636,80292.78,194.62
CMP1045,营销活动-0045,搜索,2025-03-28,2025-04-23,266.84,266.82,598660,12911,2.1566,770,5.9639,123492.53,462.83
CMP1046,营销活动-0046,搜索,2025-06-06,2025-06-20,344.92,344.74,473331,10835,2.2891,695,6.4144,82347.26,238.87
CMP1047,营销活动-0047,信息流,2025-03-07,2025-03-29,443.46,413.4,154993,4334,2.7963,130,2.9995,26146.58,63.25
CMP1048,营销活动-0048,邮件,2025-02-16,2025-02-28,472.13,488.64,9024,50,0.5541,2,4.0,572.88,1.17
CMP1049,营销活动-0049,社交,2025-04-11,2025-04-23,101.09,91.31,196475,2154,1.0963,131,6.0817,26409.85,289.23
CMP1050,营销活动-0050,搜索,2025-02-25,2025-03-21,349.92,365.86,44002,407,0.925,32,7.8624,9178.47,25.09
CMP1051,营销活动-0051,线下,2025-08-21,2025-09-10,173.0,174.77,139172,1280,0.9197,29,2.2656,5305.43,30.36
CMP1052,营销活动-0052,社交,2025-03-25,2025-04-08,439.47,386.55,192817,3866,2.005,302,7.8117,69310.36,179.31
CMP1053,营销活动-0053,搜索,2025-08-21,2025-09-12,95.78,98.81,947544,21956,2.3171,1654,7.5332,246740.19,2497.12
CMP1054,营销活动-0054,短视频,2025-09-14,2025-09-24,98.99,88.82,194817,2864,1.4701,216,7.5419,28332.44,318.99
CMP1055,营销活动-0055,信息流,2026-02-22,2026-03-15,431.09,389.37,672925,19260,2.8621,1640,8.5151,146292.11,375.71
CMP1056,营销活动-0056,短视频,2026-01-11,2026-02-08,289.59,279.0,389363,3466,0.8902,106,3.0583,28056.39,100.56
CMP1057,营销活动-0057,短视频,2025-01-18,2025-01-30,266.83,275.29,2763015,20479,0.7412,824,4.0236,162402.55,589.93
CMP1058,营销活动-0058,短视频,2025-09-03,2025-09-21,441.68,441.25,1232404,25465,2.0663,1533,6.02,439230.27,995.42
CMP1059,营销活动-0059,联盟,2025-05-01,2025-05-28,356.43,312.93,133874,3675,2.7451,146,3.9728,37353.22,119.37
CMP1060,营销活动-0060,搜索,2025-12-24,2026-01-08,50.2,48.28,898083,14781,1.6458,630,4.2622,73402.21,1520.34
CMP1061,营销活动-0061,社交,2025-10-28,2025-11-25,76.19,70.13,148851,2039,1.3698,97,4.7572,14596.05,208.13
CMP1062,营销活动-0062,线下,2025-12-26,2026-01-20,497.65,466.13,7273,45,0.6187,3,6.6667,512.26,1.1
CMP1063,营销活动-0063,邮件,2025-08-12,2025-08-24,219.34,228.3,537916,12761,2.3723,614,4.8115,103639.52,453.96
CMP1064,营销活动-0064,线下,2025-08-30,2025-09-08,146.43,140.0,566123,10352,1.8286,272,2.6275,65971.2,471.22
