movie_id,title,release_year,release_date,genre,director,country,runtime_min,rating,opening_weekend_yi,total_box_office_yi
M1000,电影-0000,2023,2023-06-08,爱情,导演-30,英国,97,7.6,0.56,4.21
M1001,电影-0001,2024,2024-01-02,科幻,导演-2,英国,147,7.0,1.28,8.01
M1002,电影-0002,2024,2024-06-12,悬疑,导演-57,韩国,164,8.3,2.79,6.21
M1003,电影-0003,2022,2022-05-27,科幻,导演-2,美国,109,6.9,0.37,2.87
M1004,电影-0004,2023,2023-03-27,喜剧,导演-44,法国,127,7.4,2.76,16.61
M1005,电影-0005,2022,2022-07-27,悬疑,导演-36,韩国,135,5.4,0.66,3.47
M1006,电影-0006,2024,2024-04-11,纪录片,导演-70,法国,121,9.7,0.75,3.38
M1007,电影-0007,2023,2023-04-05,动画,导演-60,美国,148,6.1,0.86,5.24
M1008,电影-0008,2022,2022-07-15,纪录片,导演-15,美国,156,5.7,0.72,4.42
M1009,电影-0009,2023,2023-08-12,悬疑,导演-57,韩国,104,7.4,2.18,7.6
M1010,电影-0010,2024,2024-06-17,悬疑,导演-2,日本,88,6.4,6.5,26.11
M1011,电影-0011,2020,2020-10-15,悬疑,导演-45,日本,83,6.6,0.3,1.89
M1012,电影-0012,2020,2020-02-06,动作,导演-77,中国,150,5.7,3.76,21.17
M1013,电影-0013,2021,2021-08-12,喜剧,导演-34,法国,144,6.3,5.45,38.78
M1014,电影-0014,2024,2024-12-18,悬疑,导演-22,中国,124,6.6,3.08,12.38
M1015,电影-0015,2022,2022-11-06,剧情,导演-80,中国,178,5.4,0.36,1.33
M1016,电影-0016,2020,2020-08-15,爱情,导演-33,英国,177,4.7,0.35,2.26
M1017,电影-0017,2023,2023-12-10,喜剧,导演-73,法国,145,7.0,2.38,15.07
M1018,电影-0018,2023,2023-04-21,喜剧,导演-59,英国,103,6.3,1.31,8.23
M1019,电影-0019,2024,2024-02-20,纪录片,导演-47,法国,90,5.3,2.46,6.34
M1020,电影-0020,2020,2020-10-01,科幻,导演-40,韩国,159,5.8,2.29,11.23
M1021,电影-0021,2023,2023-08-06,喜剧,导演-24,韩国,164,8.2,0.5,2.9
M1022,电影-0022,2024,2024-10-18,纪录片,导演-1,法国,149,6.2,0.15,0.72
M1023,电影-0023,2023,2023-05-14,爱情,导演-34,中国,139,5.6,0.24,1.27
M1024,电影-0024,2021,2021-12-02,科幻,导演-21,中国,80,5.6,1.27,4.73
M1025,电影-0025,2023,2023-12-14,剧情,导演-63,英国,98,5.9,1.3,9.7
M1026,电影-0026,2023,2023-01-07,喜剧,导演-76,法国,174,6.2,1.03,6.15
M1027,电影-0027,2022,2022-07-12,喜剧,导演-33,日本,128,6.2,3.82,25.23
M1028,电影-0028,2023,2023-05-25,纪录片,导演-25,日本,175,6.8,1.67,9.44
M1029,电影-0029,2022,2022-02-06,动画,导演-19,中国,131,5.0,1.56,8.96
