user_id,plan_code,cohort,region,city_tier,age_group,month,arpu_value,prev_arpu,arpu_change_pct,churn_flag,migration_date
U100000,P-4G-99,enterprise,东北,T2,36-45,2026-01,57.12,59.59,-4.15,0,
U100000,P-4G-99,enterprise,华中,T2,26-35,2026-02,58.19,57.83,0.62,0,
U100000,P-4G-99,enterprise,华东,T1,36-45,2026-03,59.65,57.29,4.12,0,
U100000,P-4G-99,enterprise,华东,T1,60+,2026-04,57.84,58.78,-1.6,0,
U100000,P-4G-99,enterprise,西南,T4,26-35,2026-05,59.76,60.87,-1.82,0,
U100000,P-4G-99,enterprise,华东,T2,46-60,2026-06,59.72,60.05,-0.56,0,
U100000,P-4G-99,enterprise,东北,T1,26-35,2026-07,57.01,55.87,2.03,0,
U100000,P-4G-99,enterprise,华北,T1,60+,2026-08,56.72,55.31,2.56,0,
U100000,P-4G-99,enterprise,西南,T4,46-60,2026-09,57.5,59.4,-3.2,0,
U100000,P-4G-99,enterprise,东北,T2,18-25,2026-10,62.38,59.68,4.52,0,
U100000,P-4G-99,enterprise,东北,T1,46-60,2026-11,62.5,62.02,0.77,0,
U100000,P-4G-99,enterprise,东北,T1,36-45,2026-12,61.03,59.02,3.4,0,
U100001,P-青年,5G_legacy_migration,华北,T2,60+,2026-01,99.51,96.67,2.94,0,2026-04-15
U100001,P-青年,5G_legacy_migration,华东,T3,36-45,2026-02,99.76,99.49,0.28,0,2026-04-15
U100001,P-青年,5G_legacy_migration,华北,T3,60+,2026-03,99.35,95.65,3.87,0,2026-04-15
U100001,P-青年,5G_legacy_migration,西南,T1,36-45,2026-04,94.41,89.85,5.08,0,2026-04-15
U100001,P-青年,5G_legacy_migration,华南,T2,18-25,2026-05,65.37,66.55,-1.77,0,2026-04-15
U100001,P-青年,5G_legacy_migration,华南,T3,60+,2026-06,73.25,71.52,2.43,0,2026-04-15
U100001,P-青年,5G_legacy_migration,西南,T4,46-60,2026-07,63.57,61.33,3.65,1,2026-04-15
U100001,P-青年,5G_legacy_migration,华北,T2,26-35,2026-08,63.6,65.22,-2.48,0,2026-04-15
U100001,P-青年,5G_legacy_migration,华北,T4,46-60,2026-09,70.15,72.41,-3.11,1,2026-04-15
U100001,P-青年,5G_legacy_migration,西南,T3,46-60,2026-10,70.56,70.62,-0.08,0,2026-04-15
U100001,P-青年,5G_legacy_migration,华东,T1,36-45,2026-11,68.71,66.65,3.09,0,2026-04-15
