province,year,total_population_wan,age_group,age_count_wan,age_pct,urban_pct
北京,2020,6539.8,0-14,1032.6,15.79,67.14
北京,2020,6539.8,15-29,1376.8,21.05,67.27
北京,2020,6539.8,30-44,1514.5,23.16,53.2
北京,2020,6539.8,45-59,1721.0,26.32,52.26
北京,2020,6539.8,60+,894.9,13.68,84.3
北京,2021,7567.3,0-14,1194.8,15.79,72.31
北京,2021,7567.3,15-29,1593.1,21.05,80.8
北京,2021,7567.3,30-44,1752.4,23.16,73.3
北京,2021,7567.3,45-59,1991.4,26.32,50.98
北京,2021,7567.3,60+,1035.5,13.68,65.68
北京,2022,2759.1,0-14,435.7,15.79,81.59
北京,2022,2759.1,15-29,580.9,21.05,82.75
北京,2022,2759.1,30-44,639.0,23.16,70.28
北京,2022,2759.1,45-59,726.1,26.32,78.45
北京,2022,2759.1,60+,377.6,13.68,59.82
北京,2023,6124.9,0-14,967.1,15.79,47.11
北京,2023,6124.9,15-29,1289.4,21.05,75.39
北京,2023,6124.9,30-44,1418.4,23.16,76.65
北京,2023,6124.9,45-59,1611.8,26.32,76.28
北京,2023,6124.9,60+,838.1,13.68,65.36
北京,2024,2997.7,0-14,473.3,15.79,89.13
北京,2024,2997.7,15-29,631.1,21.05,67.56
北京,2024,2997.7,30-44,694.2,23.16,56.05
北京,2024,2997.7,45-59,788.9,26.32,89.43
北京,2024,2997.7,60+,410.2,13.68,65.94
上海,2020,2880.9,0-14,454.9,15.79,53.03
上海,2020,2880.9,15-29,606.5,21.05,84.48
上海,2020,2880.9,30-44,667.2,23.16,55.04
上海,2020,2880.9,45-59,758.1,26.32,78.37
上海,2020,2880.9,60+,394.2,13.68,60.64
上海,2021,10665.3,0-14,1684.0,15.79,89.45
上海,2021,10665.3,15-29,2245.3,21.05,61.42
上海,2021,10665.3,30-44,2469.9,23.16,62.59
上海,2021,10665.3,45-59,2806.7,26.32,50.46
上海,2021,10665.3,60+,1459.5,13.68,75.35
上海,2022,5363.4,0-14,846.9,15.79,61.44
上海,2022,5363.4,15-29,1129.1,21.05,76.11
上海,2022,5363.4,30-44,1242.1,23.16,66.46
上海,2022,5363.4,45-59,1411.4,26.32,54.01
上海,2022,5363.4,60+,733.9,13.68,77.08
上海,2023,8123.7,0-14,1282.7,15.79,57.64
上海,2023,8123.7,15-29,1710.2,21.05,84.81
上海,2023,8123.7,30-44,1881.3,23.16,68.81
上海,2023,8123.7,45-59,2137.8,26.32,61.11
上海,2023,8123.7,60+,1111.7,13.68,73.96
上海,2024,10939.6,0-14,1727.3,15.79,85.67
上海,2024,10939.6,15-29,2303.1,21.05,78.86
上海,2024,10939.6,30-44,2533.4,23.16,62.05
上海,2024,10939.6,45-59,2878.8,26.32,56.1
上海,2024,10939.6,60+,1497.0,13.68,49.61
广东,2020,4231.0,0-14,668.1,15.79,86.59
广东,2020,4231.0,15-29,890.7,21.05,53.09
广东,2020,4231.0,30-44,979.8,23.16,73.1
广东,2020,4231.0,45-59,1113.4,26.32,56.28
广东,2020,4231.0,60+,579.0,13.68,82.11
广东,2021,9348.8,0-14,1476.1,15.79,77.64
广东,2021,9348.8,15-29,1968.2,21.05,74.33
广东,2021,9348.8,30-44,2165.0,23.16,87.26
广东,2021,9348.8,45-59,2460.2,26.32,66.79
广东,2021,9348.8,60+,1279.3,13.68,54.99
广东,2022,4083.4,0-14,644.8,15.79,56.9
广东,2022,4083.4,15-29,859.7,21.05,67.09
广东,2022,4083.4,30-44,945.6,23.16,47.24
广东,2022,4083.4,45-59,1074.6,26.32,64.97
广东,2022,4083.4,60+,558.8,13.68,48.07
广东,2023,2002.4,0-14,316.2,15.79,65.7
广东,2023,2002.4,15-29,421.6,21.05,58.13
广东,2023,2002.4,30-44,463.7,23.16,51.76
广东,2023,2002.4,45-59,526.9,26.32,64.55
广东,2023,2002.4,60+,274.0,13.68,53.1
广东,2024,6456.1,0-14,1019.4,15.79,59.08
广东,2024,6456.1,15-29,1359.2,21.05,46.21
广东,2024,6456.1,30-44,1495.1,23.16,55.35
广东,2024,6456.1,45-59,1699.0,26.32,77.71
广东,2024,6456.1,60+,883.5,13.68,67.7
江苏,2020,8718.1,0-14,1376.5,15.79,85.31
江苏,2020,8718.1,15-29,1835.4,21.05,73.11
江苏,2020,8718.1,30-44,2018.9,23.16,89.6
江苏,2020,8718.1,45-59,2294.2,26.32,55.86
江苏,2020,8718.1,60+,1193.0,13.68,79.33
江苏,2021,5271.4,0-14,832.3,15.79,75.08
江苏,2021,5271.4,15-29,1109.8,21.05,59.71
江苏,2021,5271.4,30-44,1220.7,23.16,75.72
江苏,2021,5271.4,45-59,1387.2,26.32,49.07
江苏,2021,5271.4,60+,721.3,13.68,66.81
江苏,2022,9409.7,0-14,1485.7,15.79,86.46
江苏,2022,9409.7,15-29,1981.0,21.05,82.41
江苏,2022,9409.7,30-44,2179.1,23.16,86.46
江苏,2022,9409.7,45-59,2476.2,26.32,48.57
江苏,2022,9409.7,60+,1287.6,13.68,63.08
江苏,2023,4282.9,0-14,676.3,15.79,73.18
江苏,2023,4282.9,15-29,901.7,21.05,87.35
