sku_id,sku_name,category,warehouse_id,stock_qty,reorder_point,unit_cost,last_restock_date,turnover_days,is_low_stock
SKU30000,商品-0000,运动,W03,7,70,318.51,2026-03-06,22.1,0
SKU30001,商品-0001,家居,W04,6,44,25.44,2026-02-22,39.4,1
SKU30002,商品-0002,母婴,W06,71,32,408.42,2026-03-31,17.9,0
SKU30003,商品-0003,家居,W02,16,22,256.18,2026-02-05,86.2,0
SKU30004,商品-0004,图书,W09,41,90,228.42,2026-04-03,43.4,0
SKU30005,商品-0005,图书,W09,167,38,335.86,2026-04-12,86.6,0
SKU30006,商品-0006,电子,W02,394,77,365.83,2026-02-09,52.9,0
SKU30007,商品-0007,美妆,W06,53,54,290.3,2026-04-01,63.5,0
SKU30008,商品-0008,图书,W04,40,83,191.83,2026-04-02,65.1,0
SKU30009,商品-0009,家居,W09,93,81,85.74,2026-02-24,13.9,0
SKU30010,商品-0010,美妆,W10,209,71,389.21,2026-02-02,31.2,0
SKU30011,商品-0011,运动,W10,80,42,487.3,2026-03-14,87.8,0
SKU30012,商品-0012,图书,W10,224,51,358.13,2026-04-01,71.4,1
SKU30013,商品-0013,运动,W06,65,58,459.02,2026-03-16,9.1,0
SKU30014,商品-0014,母婴,W01,7,23,68.41,2026-02-15,63.2,0
SKU30015,商品-0015,食品,W01,65,84,308.25,2026-01-17,60.1,0
SKU30016,商品-0016,美妆,W06,13,86,138.07,2026-01-26,53.3,0
SKU30017,商品-0017,电子,W03,371,25,473.35,2026-04-25,21.4,0
SKU30018,商品-0018,电子,W08,160,55,163.33,2026-01-22,40.3,0
SKU30019,商品-0019,服装,W10,67,69,20.62,2026-03-02,31.7,0
SKU30020,商品-0020,家居,W09,241,42,11.97,2026-03-31,45.2,1
SKU30021,商品-0021,美妆,W10,49,65,120.56,2026-04-13,12.5,0
SKU30022,商品-0022,运动,W02,662,47,66.68,2026-04-20,53.7,0
SKU30023,商品-0023,服装,W01,378,55,330.79,2026-02-15,22.4,0
SKU30024,商品-0024,图书,W07,266,87,340.25,2026-01-17,70.5,0
SKU30025,商品-0025,图书,W09,52,42,289.95,2026-03-20,18.8,0
SKU30026,商品-0026,母婴,W02,340,90,397.18,2026-03-25,48.7,0
SKU30027,商品-0027,运动,W05,153,45,332.06,2026-02-01,82.6,0
SKU30028,商品-0028,美妆,W05,24,39,159.78,2026-02-06,44.5,0
SKU30029,商品-0029,家居,W03,205,21,57.38,2026-02-11,82.3,0
SKU30030,商品-0030,母婴,W02,18,48,427.63,2026-02-25,45.9,0
