store_id,store_name,region,city,format,month,weekday_sales,weekend_sales,total_sales,gross_margin,headcount
S2000,门店-0000,东北,深圳,标准店,2026-01,231.6,185.99,417.59,0.2872,13
S2000,门店-0000,东北,武汉,标准店,2026-02,243.56,302.68,546.24,0.3093,3
S2000,门店-0000,东北,武汉,标准店,2026-03,221.86,324.33,546.19,0.2292,11
S2000,门店-0000,东北,北京,标准店,2026-04,226.23,209.11,435.34,0.2897,15
S2000,门店-0000,东北,广州,标准店,2025-05,174.89,156.6,331.49,0.318,6
S2000,门店-0000,东北,武汉,标准店,2025-06,45.05,61.46,106.51,0.2982,8
S2000,门店-0000,东北,深圳,标准店,2025-07,111.5,117.7,229.19,0.2061,6
S2000,门店-0000,东北,成都,标准店,2025-08,222.93,194.74,417.67,0.3049,10
S2000,门店-0000,东北,上海,标准店,2025-09,183.72,190.75,374.47,0.2453,10
S2000,门店-0000,东北,广州,标准店,2025-10,159.57,213.14,372.7,0.201,8
S2000,门店-0000,东北,重庆,标准店,2025-11,160.53,235.77,396.3,0.3025,10
S2000,门店-0000,东北,重庆,标准店,2025-12,157.38,243.76,401.14,0.1912,3
S2001,门店-0001,华中,南京,旗舰店,2026-01,134.37,166.02,300.39,0.3067,3
S2001,门店-0001,华中,上海,旗舰店,2026-02,143.21,154.67,297.88,0.241,10
S2001,门店-0001,华中,西安,旗舰店,2026-03,218.32,262.61,480.93,0.2328,8
S2001,门店-0001,华中,深圳,旗舰店,2026-04,266.73,405.74,672.47,0.2041,13
S2001,门店-0001,华中,广州,旗舰店,2025-05,264.26,332.9,597.16,0.1823,11
S2001,门店-0001,华中,上海,旗舰店,2025-06,74.52,75.78,150.3,0.1862,7
S2001,门店-0001,华中,上海,旗舰店,2025-07,56.49,73.02,129.51,0.2824,14
S2001,门店-0001,华中,深圳,旗舰店,2025-08,105.03,167.88,272.92,0.2515,14
S2001,门店-0001,华中,西安,旗舰店,2025-09,229.15,338.03,567.18,0.3119,12
S2001,门店-0001,华中,西安,旗舰店,2025-10,154.67,221.42,376.09,0.3059,14
S2001,门店-0001,华中,武汉,旗舰店,2025-11,201.39,317.3,518.68,0.2128,3
S2001,门店-0001,华中,武汉,旗舰店,2025-12,65.3,68.63,133.92,0.2905,15
S2002,门店-0002,华北,西安,便利店,2026-01,268.84,246.2,515.05,0.2083,3
S2002,门店-0002,华北,武汉,便利店,2026-02,131.36,122.24,253.6,0.1907,6
S2002,门店-0002,华北,上海,便利店,2026-03,127.79,131.91,259.7,0.2915,7
S2002,门店-0002,华北,西安,便利店,2026-04,267.47,412.96,680.43,0.2269,15
S2002,门店-0002,华北,北京,便利店,2025-05,166.4,205.7,372.1,0.2277,8
S2002,门店-0002,华北,北京,便利店,2025-06,69.57,83.64,153.21,0.3194,3
S2002,门店-0002,华北,上海,便利店,2025-07,101.12,152.31,253.43,0.244,5
S2002,门店-0002,华北,西安,便利店,2025-08,254.85,330.65,585.5,0.2116,6
S2002,门店-0002,华北,北京,便利店,2025-09,127.92,184.72,312.63,0.3144,3
S2002,门店-0002,华北,深圳,便利店,2025-10,157.6,193.91,351.51,0.1965,3
S2002,门店-0002,华北,成都,便利店,2025-11,234.98,297.54,532.52,0.2512,7
S2002,门店-0002,华北,武汉,便利店,2025-12,106.95,86.5,193.45,0.1819,15
S2003,门店-0003,华中,南京,标准店,2026-01,143.38,158.13,301.51,0.2754,7
S2003,门店-0003,华中,成都,标准店,2026-02,243.04,350.44,593.48,0.1992,6
S2003,门店-0003,华中,重庆,标准店,2026-03,260.12,227.8,487.92,0.2291,6
S2003,门店-0003,华中,北京,标准店,2026-04,142.86,130.34,273.21,0.2654,14
S2003,门店-0003,华中,南京,标准店,2025-05,116.69,94.09,210.78,0.2327,4
S2003,门店-0003,华中,成都,标准店,2025-06,90.63,125.46,216.08,0.2694,3
S2003,门店-0003,华中,北京,标准店,2025-07,90.36,110.66,201.02,0.318,10
S2003,门店-0003,华中,深圳,标准店,2025-08,118.12,118.58,236.7,0.1918,14
S2003,门店-0003,华中,广州,标准店,2025-09,111.62,101.09,212.71,0.2617,7
S2003,门店-0003,华中,西安,标准店,2025-10,252.33,346.74,599.06,0.2776,13
S2003,门店-0003,华中,成都,标准店,2025-11,145.64,170.26,315.9,0.2593,9
S2003,门店-0003,华中,杭州,标准店,2025-12,165.44,163.97,329.4,0.3184,8
S2004,门店-0004,华南,广州,标准店,2026-01,147.53,204.4,351.93,0.3115,12
S2004,门店-0004,华南,上海,标准店,2026-02,103.41,158.92,262.33,0.2777,7
S2004,门店-0004,华南,武汉,标准店,2026-03,261.78,293.24,555.02,0.2225,11
S2004,门店-0004,华南,成都,标准店,2026-04,244.66,255.39,500.05,0.2107,5
S2004,门店-0004,华南,南京,标准店,2025-05,206.01,301.11,507.12,0.2644,10
S2004,门店-0004,华南,重庆,标准店,2025-06,109.4,173.84,283.24,0.3132,8
S2004,门店-0004,华南,深圳,标准店,2025-07,308.97,457.16,766.14,0.3173,15
S2004,门店-0004,华南,西安,标准店,2025-08,60.67,60.27,120.95,0.2661,5
S2004,门店-0004,华南,南京,标准店,2025-09,288.3,360.24,648.54,0.2354,9
S2004,门店-0004,华南,杭州,标准店,2025-10,144.51,198.91,343.43,0.2026,14
S2004,门店-0004,华南,南京,标准店,2025-11,105.08,112.03,217.11,0.2696,4
S2004,门店-0004,华南,南京,标准店,2025-12,289.32,283.93,573.26,0.2644,10
S2005,门店-0005,华中,成都,无人店,2026-01,66.88,65.24,132.12,0.3037,6
S2005,门店-0005,华中,北京,无人店,2026-02,58.45,68.46,126.91,0.3051,3
S2005,门店-0005,华中,南京,无人店,2026-03,199.37,223.23,422.59,0.2203,15
S2005,门店-0005,华中,西安,无人店,2026-04,235.99,349.64,585.63,0.1894,8
S2005,门店-0005,华中,西安,无人店,2025-05,72.27,103.4,175.68,0.2129,3
S2005,门店-0005,华中,成都,无人店,2025-06,65.68,73.35,139.02,0.2701,8
S2005,门店-0005,华中,上海,无人店,2025-07,101.95,122.48,224.43,0.2856,6
S2005,门店-0005,华中,杭州,无人店,2025-08,211.15,213.16,424.31,0.2776,9
S2005,门店-0005,华中,广州,无人店,2025-09,195.77,205.87,401.65,0.1857,15
S2005,门店-0005,华中,武汉,无人店,2025-10,262.53,308.33,570.86,0.288,10
S2005,门店-0005,华中,南京,无人店,2025-11,185.97,295.0,480.96,0.2886,5
S2005,门店-0005,华中,北京,无人店,2025-12,161.11,143.06,304.18,0.2604,8
S2006,门店-0006,东北,北京,无人店,2026-01,118.17,149.71,267.88,0.2457,6
S2006,门店-0006,东北,西安,无人店,2026-02,176.42,141.47,317.88,0.2817,6
S2006,门店-0006,东北,北京,无人店,2026-03,96.35,83.38,179.73,0.2723,14
S2006,门店-0006,东北,重庆,无人店,2026-04,204.17,265.47,469.64,0.1835,8
S2006,门店-0006,东北,杭州,无人店,2025-05,189.71,223.91,413.62,0.1892,15
S2006,门店-0006,东北,重庆,无人店,2025-06,173.05,245.55,418.6,0.2365,15
S2006,门店-0006,东北,杭州,无人店,2025-07,93.12,143.21,236.33,0.2099,15
S2006,门店-0006,东北,重庆,无人店,2025-08,169.77,261.26,431.02,0.2103,14
S2006,门店-0006,东北,武汉,无人店,2025-09,217.53,202.3,419.83,0.2595,14
S2006,门店-0006,东北,成都,无人店,2025-10,228.47,277.76,506.22,0.304,12
S2006,门店-0006,东北,杭州,无人店,2025-11,181.08,259.44,440.52,0.2442,11
S2006,门店-0006,东北,广州,无人店,2025-12,214.66,317.57,532.22,0.3139,15
S2007,门店-0007,华北,西安,便利店,2026-01,208.91,237.29,446.2,0.2904,12
S2007,门店-0007,华北,上海,便利店,2026-02,181.73,255.12,436.86,0.3064,9
S2007,门店-0007,华北,广州,便利店,2026-03,152.94,237.87,390.8,0.1976,8
S2007,门店-0007,华北,广州,便利店,2026-04,55.21,65.75,120.96,0.3115,12
S2007,门店-0007,华北,上海,便利店,2025-05,199.3,277.16,476.46,0.2849,14
S2007,门店-0007,华北,重庆,便利店,2025-06,187.06,233.25,420.32,0.2898,8
S2007,门店-0007,华北,上海,便利店,2025-07,134.86,142.2,277.06,0.2702,15
S2007,门店-0007,华北,成都,便利店,2025-08,95.48,84.62,180.1,0.1936,8
S2007,门店-0007,华北,广州,便利店,2025-09,255.21,350.13,605.34,0.3164,8
S2007,门店-0007,华北,重庆,便利店,2025-10,91.67,112.25,203.92,0.2046,7
S2007,门店-0007,华北,西安,便利店,2025-11,127.08,143.29,270.38,0.1851,9
S2007,门店-0007,华北,杭州,便利店,2025-12,101.56,152.11,253.67,0.1992,3
S2008,门店-0008,华北,杭州,旗舰店,2026-01,157.63,212.23,369.86,0.2743,5
S2008,门店-0008,华北,重庆,旗舰店,2026-02,50.57,61.64,112.21,0.2616,15
S2008,门店-0008,华北,南京,旗舰店,2026-03,49.57,43.36,92.93,0.3138,15
S2008,门店-0008,华北,北京,旗舰店,2026-04,257.63,396.41,654.05,0.238,13
S2008,门店-0008,华北,上海,旗舰店,2025-05,143.15,151.47,294.62,0.2522,8
S2008,门店-0008,华北,西安,旗舰店,2025-06,199.9,262.66,462.56,0.2106,7
S2008,门店-0008,华北,上海,旗舰店,2025-07,135.08,187.92,323.0,0.2658,9
S2008,门店-0008,华北,西安,旗舰店,2025-08,149.27,130.84,280.11,0.2151,5
S2008,门店-0008,华北,深圳,旗舰店,2025-09,127.71,103.0,230.71,0.3086,3
S2008,门店-0008,华北,重庆,旗舰店,2025-10,166.76,258.59,425.35,0.283,13
S2008,门店-0008,华北,上海,旗舰店,2025-11,264.29,277.79,542.08,0.275,4
S2008,门店-0008,华北,西安,旗舰店,2025-12,168.97,150.04,319.01,0.3156,6
S2009,门店-0009,东北,成都,无人店,2026-01,261.7,322.38,584.08,0.3094,6
S2009,门店-0009,东北,上海,无人店,2026-02,259.02,321.52,580.54,0.2152,4
S2009,门店-0009,东北,重庆,无人店,2026-03,255.18,278.04,533.22,0.2747,15
S2009,门店-0009,东北,北京,无人店,2026-04,197.68,167.51,365.18,0.2488,3
S2009,门店-0009,东北,北京,无人店,2025-05,203.45,180.12,383.57,0.2467,11
S2009,门店-0009,东北,北京,无人店,2025-06,81.04,119.85,200.89,0.2758,12
S2009,门店-0009,东北,西安,无人店,2025-07,195.8,169.28,365.08,0.3062,13
S2009,门店-0009,东北,杭州,无人店,2025-08,126.48,162.68,289.16,0.2093,11
S2009,门店-0009,东北,南京,无人店,2025-09,154.0,126.15,280.15,0.2127,7
S2009,门店-0009,东北,广州,无人店,2025-10,230.58,349.17,579.74,0.2163,13
S2009,门店-0009,东北,重庆,无人店,2025-11,170.81,216.78,387.59,0.2194,3
S2009,门店-0009,东北,杭州,无人店,2025-12,139.06,152.46,291.52,0.1804,12
S2010,门店-0010,华北,北京,标准店,2026-01,268.0,290.37,558.37,0.1826,13
S2010,门店-0010,华北,成都,标准店,2026-02,135.23,157.05,292.29,0.3128,9
S2010,门店-0010,华北,西安,标准店,2026-03,144.8,165.95,310.75,0.2752,5
S2010,门店-0010,华北,西安,标准店,2026-04,125.49,117.47,242.96,0.2221,10
S2010,门店-0010,华北,广州,标准店,2025-05,183.81,290.85,474.65,0.2886,6
S2010,门店-0010,华北,成都,标准店,2025-06,257.7,257.95,515.65,0.3047,4
S2010,门店-0010,华北,上海,标准店,2025-07,140.44,196.82,337.26,0.2364,14
S2010,门店-0010,华北,重庆,标准店,2025-08,173.51,202.95,376.46,0.2829,8
S2010,门店-0010,华北,南京,标准店,2025-09,153.78,137.45,291.22,0.2827,6
S2010,门店-0010,华北,南京,标准店,2025-10,94.16,114.25,208.41,0.2372,6
S2010,门店-0010,华北,杭州,标准店,2025-11,140.77,136.41,277.18,0.2933,6
S2010,门店-0010,华北,广州,标准店,2025-12,62.61,83.22,145.84,0.3086,13
S2011,门店-0011,华南,深圳,标准店,2026-01,189.16,182.92,372.08,0.3349,15
S2011,门店-0011,华南,成都,标准店,2026-02,266.67,387.42,654.09,0.2837,12
S2011,门店-0011,华南,杭州,标准店,2026-03,231.97,363.58,595.55,0.2206,6
S2011,门店-0011,华南,重庆,标准店,2026-04,242.91,370.17,613.08,0.3317,6
S2011,门店-0011,华南,杭州,标准店,2025-05,123.07,105.97,229.04,0.2947,11
S2011,门店-0011,华南,杭州,标准店,2025-06,70.06,94.53,164.59,0.3335,9
S2011,门店-0011,华南,武汉,标准店,2025-07,350.04,377.31,727.34,0.2198,4
S2011,门店-0011,华南,西安,标准店,2025-08,106.72,122.63,229.36,0.2811,15
S2011,门店-0011,华南,广州,标准店,2025-09,328.05,418.55,746.6,0.3162,4
S2011,门店-0011,华南,北京,标准店,2025-10,100.28,94.04,194.32,0.2325,4
S2011,门店-0011,华南,广州,标准店,2025-11,344.13,501.94,846.07,0.2266,7
S2011,门店-0011,华南,成都,标准店,2025-12,146.44,141.5,287.94,0.3167,3
S2012,门店-0012,东北,北京,旗舰店,2026-01,187.22,190.03,377.25,0.2133,3
S2012,门店-0012,东北,广州,旗舰店,2026-02,244.78,273.81,518.59,0.283,6
S2012,门店-0012,东北,深圳,旗舰店,2026-03,228.7,312.12,540.82,0.2041,3
S2012,门店-0012,东北,杭州,旗舰店,2026-04,186.19,159.98,346.17,0.2084,8
S2012,门店-0012,东北,南京,旗舰店,2025-05,213.06,178.4,391.46,0.2669,15
S2012,门店-0012,东北,武汉,旗舰店,2025-06,259.29,384.64,643.93,0.2066,3
S2012,门店-0012,东北,成都,旗舰店,2025-07,48.02,76.63,124.65,0.2223,13
S2012,门店-0012,东北,南京,旗舰店,2025-08,153.38,126.17,279.54,0.1827,13
S2012,门店-0012,东北,上海,旗舰店,2025-09,116.61,177.33,293.94,0.2236,8
S2012,门店-0012,东北,武汉,旗舰店,2025-10,52.71,54.62,107.32,0.1859,13
S2012,门店-0012,东北,杭州,旗舰店,2025-11,266.46,396.35,662.81,0.3097,10
S2012,门店-0012,东北,深圳,旗舰店,2025-12,104.81,132.35,237.16,0.1932,8
S2013,门店-0013,华东,重庆,无人店,2026-01,287.47,321.88,609.35,0.3267,10
S2013,门店-0013,华东,北京,无人店,2026-02,98.79,127.67,226.46,0.2168,15
S2013,门店-0013,华东,西安,无人店,2026-03,253.92,372.31,626.23,0.2432,14
S2013,门店-0013,华东,北京,无人店,2026-04,70.23,64.65,134.88,0.2143,13
S2013,门店-0013,华东,重庆,无人店,2025-05,255.51,249.15,504.67,0.3265,12
S2013,门店-0013,华东,广州,无人店,2025-06,99.32,153.72,253.04,0.2247,12
S2013,门店-0013,华东,深圳,无人店,2025-07,313.98,466.27,780.25,0.2257,13
S2013,门店-0013,华东,重庆,无人店,2025-08,215.64,266.94,482.58,0.2144,3
S2013,门店-0013,华东,深圳,无人店,2025-09,181.43,198.15,379.58,0.2185,8
S2013,门店-0013,华东,重庆,无人店,2025-10,342.68,525.63,868.31,0.3232,5
S2013,门店-0013,华东,成都,无人店,2025-11,122.76,134.37,257.12,0.3335,3
S2013,门店-0013,华东,杭州,无人店,2025-12,115.67,107.12,222.8,0.2292,11
S2014,门店-0014,华东,杭州,标准店,2026-01,261.39,213.03,474.42,0.2009,8
S2014,门店-0014,华东,武汉,标准店,2026-02,97.09,116.58,213.67,0.2472,13
S2014,门店-0014,华东,成都,标准店,2026-03,354.61,324.76,679.37,0.3238,5
