order_id,customer_id,region_l1,region_l2,bu_id,product_line,amount,order_date,period,channel,sales_manager_id,status
SO200000,C1872,华北,北线,BU-1,AI 助理,30.78,2025-03-19,2025Q1,直销,SM123,pending
SO200001,C1416,华中,北线,BU-6,云平台,73.18,2026-03-03,2026Q1,直销,SM180,closed
SO200002,C3077,华中,南线,BU-2,BSS-OSS,23.97,2024-07-14,2024Q3,电商,SM132,closed
SO200003,C1468,华东,北线,BU-2,数据中台,103.92,2026-03-26,2026Q1,电商,SM120,closed
SO200004,C1607,华东,中线,BU-2,智能客服,78.85,2025-11-15,2025Q4,电商,SM245,closed
SO200005,C3929,华北,南线,BU-6,IT 服务,42.99,2025-04-04,2025Q2,项目集采,SM118,shipping
SO200006,C3308,华南,北线,BU-3,AI 助理,17.76,2025-07-23,2025Q3,电商,SM230,pending
SO200007,C3440,华北,中线,BU-2,云平台,16.36,2025-10-06,2025Q4,直销,SM227,shipping
SO200008,C2488,华南,东线,BU-1,AI 助理,50.17,2025-11-26,2025Q4,电商,SM143,closed
SO200009,C2619,华中,南线,BU-3,IT 服务,9.54,2025-12-19,2025Q4,直销,SM120,closed
SO200010,C1820,华东,南线,BU-4,数据中台,52.69,2026-03-15,2026Q1,直销,SM133,shipping
SO200011,C1376,华南,中线,BU-4,IT 服务,1.9,2026-01-09,2026Q1,项目集采,SM158,closed
SO200012,C3250,华东,东线,BU-5,AI 助理,5.16,2025-01-08,2025Q1,渠道,SM189,closed
SO200013,C1598,华东,北线,BU-2,运营商网关,63.76,2026-01-16,2026Q1,渠道,SM152,closed
SO200014,C2372,华东,北线,BU-1,云平台,29.02,2026-01-23,2026Q1,渠道,SM246,closed
SO200015,C3813,华东,南线,BU-5,BSS-OSS,15.87,2024-09-17,2024Q3,电商,SM199,shipping
SO200016,C1041,华北,中线,BU-4,云平台,52.19,2026-01-19,2026Q1,电商,SM216,closed
SO200017,C3320,华东,北线,BU-5,运营商网关,11.48,2026-01-03,2026Q1,渠道,SM165,closed
SO200018,C1104,华东,东线,BU-5,云平台,60.16,2024-04-23,2024Q2,电商,SM190,closed
SO200019,C3797,华北,中线,BU-5,运营商网关,17.72,2025-07-04,2025Q3,项目集采,SM177,closed
SO200020,C2604,华南,东线,BU-1,运营商网关,19.31,2026-01-22,2026Q1,渠道,SM126,shipping
SO200021,C2564,华中,中线,BU-4,运营商网关,73.51,2025-02-04,2025Q1,渠道,SM162,closed
SO200022,C3378,华东,北线,BU-2,运营商网关,30.08,2025-08-09,2025Q3,项目集采,SM224,closed
SO200023,C2266,华东,南线,BU-4,AI 助理,45.42,2025-04-08,2025Q2,渠道,SM143,closed
SO200024,C3482,华北,南线,BU-6,数据中台,65.09,2025-10-04,2025Q4,直销,SM124,closed
SO200025,C2066,西南,中线,BU-4,运营商网关,177.47,2024-10-25,2024Q4,渠道,SM193,closed
SO200026,C1824,华东,南线,BU-4,智能客服,37.66,2026-01-11,2026Q1,项目集采,SM129,closed
SO200027,C2067,华中,中线,BU-3,云平台,5.66,2025-04-17,2025Q2,渠道,SM241,closed
SO200028,C1068,华北,中线,BU-5,运营商网关,0.98,2026-02-21,2026Q1,直销,SM195,closed
SO200029,C2208,华东,南线,BU-3,智能客服,29.05,2025-06-04,2025Q2,电商,SM125,shipping
SO200030,C3760,西南,南线,BU-2,AI 助理,22.77,2024-07-17,2024Q3,直销,SM118,closed
SO200031,C3785,东北,南线,BU-1,运营商网关,27.32,2026-03-26,2026Q1,项目集采,SM181,closed
SO200032,C2122,东北,南线,BU-2,智能客服,60.94,2025-02-18,2025Q1,渠道,SM164,closed
SO200033,C1040,华东,东线,BU-5,AI 助理,61.37,2026-01-01,2026Q1,直销,SM201,closed
SO200034,C3278,华北,北线,BU-2,AI 助理,192.04,2024-11-18,2024Q4,渠道,SM175,shipping
SO200035,C2078,华东,南线,BU-3,运营商网关,6.13,2026-01-02,2026Q1,电商,SM116,closed
SO200036,C1118,华北,北线,BU-6,AI 助理,76.34,2026-03-13,2026Q1,渠道,SM102,closed
SO200037,C1357,华南,东线,BU-2,云平台,19.63,2025-11-22,2025Q4,电商,SM111,shipping
SO200038,C1587,华东,中线,BU-5,IT 服务,2.11,2024-09-02,2024Q3,电商,SM181,closed
SO200039,C3890,西南,东线,BU-3,云平台,4.53,2025-02-24,2025Q1,电商,SM111,pending
SO200040,C1554,华中,东线,BU-6,IT 服务,20.36,2024-07-22,2024Q3,电商,SM121,closed
SO200041,C1580,华中,北线,BU-2,BSS-OSS,47.97,2024-09-22,2024Q3,项目集采,SM206,closed
SO200042,C2941,华东,东线,BU-3,IT 服务,14.3,2024-03-27,2024Q1,项目集采,SM154,closed
SO200043,C2491,华东,南线,BU-3,云平台,54.89,2026-01-26,2026Q1,直销,SM235,closed
SO200044,C3076,西南,北线,BU-5,数据中台,89.47,2026-02-08,2026Q1,项目集采,SM119,closed
SO200045,C2116,华北,北线,BU-4,BSS-OSS,20.84,2024-02-09,2024Q1,渠道,SM143,closed
SO200046,C2142,华中,北线,BU-3,智能客服,31.95,2025-06-16,2025Q2,直销,SM145,shipping
SO200047,C2839,东北,中线,BU-1,IT 服务,42.29,2026-03-14,2026Q1,渠道,SM191,closed
SO200048,C3631,西南,东线,BU-1,数据中台,84.68,2026-03-14,2026Q1,电商,SM209,closed
SO200049,C2894,华东,南线,BU-6,AI 助理,94.2,2025-06-16,2025Q2,电商,SM179,shipping
SO200050,C2487,西南,东线,BU-4,运营商网关,32.26,2026-01-10,2026Q1,渠道,SM188,closed
SO200051,C3664,华北,东线,BU-3,AI 助理,16.87,2024-03-20,2024Q1,电商,SM131,closed
SO200052,C3770,华东,北线,BU-1,数据中台,9.98,2026-03-12,2026Q1,电商,SM132,closed
SO200053,C2836,华东,东线,BU-1,BSS-OSS,49.1,2026-01-22,2026Q1,电商,SM162,closed
SO200054,C2340,华南,中线,BU-4,IT 服务,44.54,2025-06-08,2025Q2,电商,SM132,pending
SO200055,C1336,华东,东线,BU-2,云平台,32.46,2025-10-04,2025Q4,渠道,SM118,closed
SO200056,C3252,华南,中线,BU-4,运营商网关,77.7,2026-02-17,2026Q1,电商,SM167,closed
SO200057,C2605,西南,北线,BU-1,数据中台,27.49,2024-07-15,2024Q3,渠道,SM187,closed
SO200058,C1782,华南,中线,BU-4,运营商网关,77.21,2024-06-04,2024Q2,直销,SM111,closed
SO200059,C3020,华北,中线,BU-4,AI 助理,14.67,2025-10-17,2025Q4,直销,SM239,shipping
SO200060,C3228,华南,南线,BU-5,IT 服务,10.85,2025-08-10,2025Q3,项目集采,SM121,closed
SO200061,C1705,东北,南线,BU-5,运营商网关,9.33,2025-04-24,2025Q2,渠道,SM161,shipping
SO200062,C1633,华东,北线,BU-2,IT 服务,267.25,2026-01-02,2026Q1,项目集采,SM175,closed
SO200063,C3207,华东,中线,BU-4,数据中台,81.3,2026-02-23,2026Q1,项目集采,SM198,closed
SO200064,C1182,东北,南线,BU-1,云平台,61.77,2025-03-07,2025Q1,项目集采,SM124,closed
SO200065,C2853,华南,南线,BU-1,运营商网关,94.74,2025-07-11,2025Q3,项目集采,SM224,closed
SO200066,C3447,华东,东线,BU-1,BSS-OSS,45.21,2026-03-08,2026Q1,直销,SM101,closed
SO200067,C3026,华东,中线,BU-2,智能客服,86.94,2025-11-01,2025Q4,项目集采,SM167,closed
SO200068,C1721,华东,南线,BU-2,IT 服务,11.87,2025-07-16,2025Q3,电商,SM103,shipping
SO200069,C1695,华中,南线,BU-5,AI 助理,36.85,2025-12-19,2025Q4,直销,SM233,closed
SO200070,C2451,华东,南线,BU-5,运营商网关,6.66,2025-09-10,2025Q3,直销,SM201,closed
SO200071,C2365,华东,南线,BU-1,IT 服务,19.4,2025-06-05,2025Q2,电商,SM190,closed
SO200072,C1632,华南,南线,BU-4,AI 助理,33.11,2026-03-13,2026Q1,渠道,SM232,closed
SO200073,C3405,东北,中线,BU-4,AI 助理,51.86,2025-03-06,2025Q1,项目集采,SM129,closed
SO200074,C3268,华东,南线,BU-3,云平台,77.84,2026-03-14,2026Q1,项目集采,SM215,closed
SO200075,C1764,华东,北线,BU-3,AI 助理,95.15,2026-01-16,2026Q1,直销,SM208,closed
SO200076,C1347,华东,中线,BU-1,运营商网关,25.57,2025-08-05,2025Q3,直销,SM170,closed
SO200077,C1018,华东,南线,BU-3,智能客服,20.12,2026-02-24,2026Q1,项目集采,SM233,closed
SO200078,C3693,东北,东线,BU-5,数据中台,46.23,2024-10-06,2024Q4,电商,SM200,closed
SO200079,C1192,华东,东线,BU-6,数据中台,17.31,2024-08-09,2024Q3,电商,SM215,closed
SO200080,C3303,华南,南线,BU-6,数据中台,21.51,2026-02-16,2026Q1,渠道,SM219,closed
SO200081,C2966,华北,南线,BU-2,数据中台,4.67,2024-02-10,2024Q1,直销,SM220,closed
SO200082,C2027,华南,中线,BU-2,智能客服,2.6,2026-02-12,2026Q1,项目集采,SM228,closed
SO200083,C2520,华南,东线,BU-5,云平台,7.89,2025-03-15,2025Q1,直销,SM242,closed
SO200084,C1527,华东,南线,BU-5,运营商网关,4.75,2025-11-01,2025Q4,渠道,SM178,closed
SO200085,C1273,华南,南线,BU-6,数据中台,236.35,2025-05-11,2025Q2,项目集采,SM143,closed
SO200086,C1952,华中,东线,BU-6,云平台,20.55,2024-05-26,2024Q2,项目集采,SM218,closed
SO200087,C2925,华中,中线,BU-4,云平台,73.68,2024-07-25,2024Q3,电商,SM196,closed
SO200088,C2027,华中,中线,BU-3,AI 助理,47.44,2025-07-06,2025Q3,电商,SM110,closed
SO200089,C2524,华东,南线,BU-5,运营商网关,29.17,2026-02-01,2026Q1,渠道,SM188,closed
SO200090,C3937,华南,南线,BU-6,数据中台,3.56,2025-07-16,2025Q3,渠道,SM235,closed
SO200091,C1243,华东,中线,BU-4,智能客服,128.23,2024-03-16,2024Q1,电商,SM143,closed
SO200092,C3909,华东,北线,BU-1,运营商网关,22.98,2025-01-12,2025Q1,渠道,SM219,closed
SO200093,C3936,华东,南线,BU-6,运营商网关,95.75,2025-05-02,2025Q2,项目集采,SM238,closed
SO200094,C3811,华东,南线,BU-1,云平台,15.46,2025-10-07,2025Q4,渠道,SM180,closed
SO200095,C2123,华东,中线,BU-5,数据中台,22.91,2024-03-25,2024Q1,项目集采,SM146,closed
SO200096,C2569,华东,东线,BU-3,数据中台,118.79,2025-06-23,2025Q2,电商,SM152,shipping
SO200097,C2450,华南,南线,BU-3,BSS-OSS,31.93,2025-08-21,2025Q3,项目集采,SM192,closed
SO200098,C1668,华北,南线,BU-1,智能客服,120.54,2024-09-04,2024Q3,项目集采,SM234,closed
