ticket_id,customer_id,category,priority,channel,created_at,resolved_at,sla_hours,resolution_time_hours,sla_met,escalated,csat_score,agent_id
T500000,C1009,退订,P4,在线,2026-02-22 02:00:00,2026-02-23 18:31:02,72,40.52,1,0,3,A156
T500001,C1209,咨询,P1,App,2026-03-27 17:00:00,2026-03-27 18:10:08,4,1.17,1,0,5,A232
T500002,C3108,故障申报,P3,在线,2026-02-02 23:00:00,2026-02-03 06:46:15,24,7.77,1,0,5,A254
T500003,C2311,故障申报,P3,热线,2026-04-07 02:00:00,2026-04-07 18:53:59,24,16.9,1,1,5,A123
T500004,C3484,投诉,P1,App,2026-04-05 08:00:00,2026-04-05 08:45:22,4,0.76,1,0,2,A265
T500005,C2082,业务变更,P3,邮件,2026-03-03 17:00:00,2026-03-03 20:40:19,24,3.67,1,0,4,A194
T500006,C1473,业务变更,P3,邮件,2026-01-12 18:00:00,2026-01-13 07:01:15,24,13.02,1,0,4,A269
T500007,C3713,退订,P2,App,2026-02-05 23:00:00,2026-02-06 04:27:38,8,5.46,1,0,5,A119
T500008,C3957,故障申报,P2,邮件,2026-03-20 09:00:00,2026-03-20 12:23:23,8,3.39,1,0,5,A249
T500009,C1508,故障申报,P2,在线,2026-01-04 21:00:00,2026-01-04 22:51:27,8,1.86,1,0,4,A220
T500010,C1078,投诉,P4,在线,2026-02-23 20:00:00,2026-02-25 02:48:12,72,30.8,1,0,4,A101
T500011,C2274,业务变更,P3,邮件,2026-03-12 16:00:00,2026-03-12 18:07:20,24,2.12,1,0,5,A119
T500012,C1476,退订,P2,在线,2026-01-22 01:00:00,2026-01-22 05:17:34,8,4.29,1,0,4,A167
T500013,C1010,退订,P4,邮件,2026-03-26 17:00:00,2026-03-30 04:52:12,72,83.87,0,0,2,A163
T500014,C3177,退订,P2,App,2026-03-16 13:00:00,2026-03-16 21:10:43,8,8.18,0,0,4,A138
T500015,C2681,故障申报,P3,App,2026-04-27 17:00:00,2026-04-28 19:34:54,24,26.58,0,0,5,A214
T500016,C2837,投诉,P3,热线,2026-04-02 22:00:00,2026-04-05 00:23:33,24,50.39,0,0,2,A132
T500017,C1556,投诉,P1,邮件,2026-01-21 08:00:00,2026-01-21 08:33:00,4,0.55,1,0,3,A218
T500018,C1244,故障申报,P2,在线,2026-03-22 06:00:00,2026-03-22 12:34:15,8,6.57,1,0,2,A146
T500019,C2326,故障申报,P4,App,2026-01-16 23:00:00,2026-01-17 17:35:13,72,18.59,1,1,4,A270
T500020,C2304,咨询,P2,邮件,2026-02-16 10:00:00,2026-02-16 10:47:37,8,0.79,1,0,3,A136
T500021,C3379,退订,P2,在线,2026-04-22 13:00:00,2026-04-23 03:32:53,8,14.55,0,0,1,A159
T500022,C2704,业务变更,P4,在线,2026-04-22 03:00:00,2026-04-24 02:10:09,72,47.17,1,0,5,A284
T500023,C2385,故障申报,P1,在线,2026-04-21 02:00:00,2026-04-21 05:34:27,4,3.57,1,0,5,A121
T500024,C2533,业务变更,P2,在线,2026-02-06 13:00:00,2026-02-06 16:44:06,8,3.74,1,0,2,A244
T500025,C3835,退订,P1,在线,2026-02-21 13:00:00,2026-02-21 13:30:00,4,0.5,1,0,4,A212
T500026,C3390,业务变更,P2,热线,2026-02-15 07:00:00,2026-02-15 08:51:03,8,1.85,1,0,4,A275
T500027,C3468,故障申报,P3,热线,2026-04-05 01:00:00,2026-04-05 07:22:10,24,6.37,1,0,4,A160
T500028,C3275,退订,P2,邮件,2026-02-18 04:00:00,2026-02-18 10:27:22,8,6.46,1,0,5,A168
T500029,C2482,其他,P2,在线,2026-03-21 02:00:00,2026-03-21 19:53:46,8,17.9,0,0,4,A142
T500030,C3627,咨询,P1,邮件,2026-04-20 11:00:00,2026-04-20 14:25:20,4,3.42,1,0,3,A142
T500031,C2385,其他,P4,App,2026-04-09 20:00:00,2026-04-09 22:31:05,72,2.52,1,0,4,A275
T500032,C3466,投诉,P1,在线,2026-02-04 20:00:00,2026-02-05 03:02:44,4,7.05,0,0,5,A194
T500033,C1224,故障申报,P1,邮件,2026-02-10 12:00:00,2026-02-10 13:26:53,4,1.45,1,0,1,A290
T500034,C2637,业务变更,P4,邮件,2026-03-01 20:00:00,2026-03-03 02:00:07,72,30.0,1,0,5,A181
T500035,C3465,投诉,P4,邮件,2026-04-03 04:00:00,2026-04-03 10:43:38,72,6.73,1,0,1,A162
T500036,C3678,咨询,P1,App,2026-04-05 09:00:00,2026-04-05 11:19:08,4,2.32,1,0,5,A182
T500037,C1306,退订,P3,在线,2026-02-22 17:00:00,2026-02-24 03:35:07,24,34.59,0,0,2,A177
T500038,C3958,故障申报,P4,App,2026-03-16 08:00:00,2026-03-17 16:52:14,72,32.87,1,0,5,A227
T500039,C2509,退订,P1,邮件,2026-01-06 16:00:00,2026-01-06 17:46:14,4,1.77,1,0,2,A218
T500040,C2876,其他,P2,App,2026-04-26 15:00:00,2026-04-26 22:15:28,8,7.26,1,0,5,A213
T500041,C3957,故障申报,P4,热线,2026-03-19 10:00:00,2026-03-20 08:07:39,72,22.13,1,0,5,A146
T500042,C1371,退订,P4,热线,2026-03-04 21:00:00,2026-03-09 20:51:38,72,119.86,0,0,4,A300
T500043,C1675,业务变更,P2,热线,2026-03-21 11:00:00,2026-03-21 20:01:20,8,9.02,0,0,4,A297
T500044,C3684,咨询,P3,在线,2026-04-02 09:00:00,2026-04-05 06:05:06,24,69.09,0,0,4,A233
T500045,C3973,故障申报,P1,App,2026-03-14 08:00:00,2026-03-14 10:11:50,4,2.2,1,0,3,A116
T500046,C1066,退订,P2,App,2026-02-12 23:00:00,2026-02-13 00:50:59,8,1.85,1,0,4,A262
T500047,C3226,其他,P2,App,2026-03-12 09:00:00,2026-03-12 15:27:20,8,6.46,1,0,5,A241
T500048,C3146,故障申报,P3,热线,2026-03-04 13:00:00,2026-03-05 03:45:23,24,14.76,1,0,5,A175
T500049,C2001,其他,P3,邮件,2026-03-16 10:00:00,2026-03-16 18:13:14,24,8.22,1,0,5,A234
T500050,C2524,业务变更,P4,App,2026-01-13 00:00:00,2026-01-13 07:06:37,72,7.11,1,0,4,A252
