voyage_id,ship_id,ship_type,departure_port,arrival_port,departure_time,arrival_time,distance_nm,duration_hours,fuel_consumption_ton,cargo_weight_ton,weather_grade
V50000,SH131,散货船,上海,深圳,2025-03-26 07:00,2025-03-29 01:53,1089.0,66.88,54.58,3053.5,C
V50001,SH170,客船,厦门,青岛,2024-01-23 12:00,2024-01-29 01:39,2323.2,133.66,319.57,251.9,D
V50002,SH235,散货船,天津,广州,2024-05-08 15:00,2024-05-10 02:24,581.9,35.4,52.89,976.9,A
V50003,SH173,散货船,青岛,青岛,2025-10-07 01:00,2025-10-26 20:31,7644.5,475.53,1093.19,1266.1,A
V50004,SH116,集装箱船,广州,广州,2025-08-27 15:00,2025-08-29 12:47,652.0,45.78,94.74,6306.8,B
V50005,SH156,散货船,上海,广州,2024-02-26 15:00,2024-02-27 09:32,308.3,18.54,27.49,1015.0,C
V50006,SH199,油轮,广州,青岛,2024-05-06 14:00,2024-05-07 03:16,198.9,13.28,14.3,6184.2,C
V50007,SH210,集装箱船,青岛,青岛,2025-02-11 14:00,2025-02-12 05:12,228.9,15.21,16.07,429.1,D
V50008,SH105,散货船,上海,大连,2024-11-06 13:00,2024-11-07 11:42,261.3,22.7,37.71,2173.9,A
V50009,SH250,集装箱船,厦门,深圳,2024-02-27 09:00,2024-03-01 08:55,924.2,71.93,86.97,124.3,C
V50010,SH162,集装箱船,宁波,深圳,2025-05-11 17:00,2025-05-16 13:43,1789.4,116.73,180.64,3371.0,C
V50011,SH134,集装箱船,厦门,厦门,2025-11-30 20:00,2025-12-03 13:35,973.6,65.6,68.87,2029.3,B
V50012,SH102,集装箱船,深圳,天津,2025-08-22 06:00,2025-08-23 02:13,233.5,20.22,29.43,311.4,B
V50013,SH191,油轮,宁波,厦门,2025-06-29 04:00,2025-07-03 03:11,1198.8,95.19,85.85,3785.0,B
V50014,SH240,油轮,深圳,深圳,2025-10-14 18:00,2025-10-18 06:12,1013.7,84.21,140.36,3217.6,D
V50015,SH202,散货船,天津,广州,2025-02-23 03:00,2025-02-26 18:38,1358.9,87.64,156.04,1446.5,B
V50016,SH183,集装箱船,青岛,上海,2025-09-10 05:00,2025-09-10 10:05,65.4,5.1,3.62,4804.0,D
V50017,SH130,油轮,大连,大连,2024-06-01 18:00,2024-06-12 13:25,2724.5,259.43,244.08,2943.2,C
V50018,SH137,渔船,上海,厦门,2024-04-19 22:00,2024-04-23 21:12,1490.1,95.21,116.56,1538.5,A
V50019,SH166,油轮,上海,天津,2024-07-06 19:00,2024-07-10 00:00,866.3,77.01,128.89,7771.3,D
V50020,SH136,客船,厦门,广州,2024-08-21 19:00,2024-08-22 14:20,159.0,19.34,16.11,1345.3,B
V50021,SH144,油轮,上海,天津,2024-04-17 12:00,2024-04-22 20:40,1701.1,128.67,134.3,202.7,D
V50022,SH231,渔船,厦门,广州,2025-04-18 19:00,2025-04-25 17:31,1840.9,166.52,177.87,2017.9,D
V50023,SH121,散货船,天津,深圳,2025-05-25 19:00,2025-05-27 16:18,589.1,45.31,78.98,1020.0,D
V50024,SH199,散货船,大连,厦门,2025-10-08 21:00,2025-10-13 17:58,1099.2,116.98,86.77,2012.7,A
V50025,SH176,集装箱船,深圳,宁波,2025-08-24 09:00,2025-09-07 06:09,5781.1,333.15,771.39,3469.6,D
V50026,SH190,散货船,广州,天津,2024-02-22 01:00,2024-02-26 13:32,1941.9,108.53,199.27,976.9,D
V50027,SH239,散货船,青岛,天津,2025-10-27 06:00,2025-10-27 13:44,121.6,7.74,16.99,923.5,A
