city,year,month,date,avg_temp,max_temp,min_temp,precipitation_mm,humidity_pct,aqi
北京,2021,1,2021-01-15,1.0,7.7,-6.0,4.5,63,26
北京,2021,2,2021-02-15,1.1,8.1,-4.6,0.7,50,62
北京,2021,3,2021-03-15,4.1,7.6,-1.3,52.1,63,124
北京,2021,4,2021-04-15,13.8,20.3,6.5,1.6,58,71
北京,2021,5,2021-05-15,17.3,25.1,14.0,49.2,61,111
北京,2021,6,2021-06-15,22.1,27.4,14.7,2.2,84,111
北京,2021,7,2021-07-15,23.8,29.3,20.5,0.6,64,93
北京,2021,8,2021-08-15,23.9,29.4,18.4,6.8,64,43
北京,2021,9,2021-09-15,17.6,21.5,11.2,6.2,67,75
北京,2021,10,2021-10-15,13.3,20.9,9.2,45.1,79,91
北京,2021,11,2021-11-15,5.6,10.8,1.7,13.2,48,91
北京,2021,12,2021-12-15,0.6,4.3,-4.2,4.8,66,134
北京,2022,1,2022-01-15,-0.1,6.3,-8.0,13.7,50,56
北京,2022,2,2022-02-15,2.0,7.8,-3.0,19.8,67,95
北京,2022,3,2022-03-15,7.2,13.9,-0.4,33.8,75,73
北京,2022,4,2022-04-15,11.4,17.4,8.1,7.2,65,57
北京,2022,5,2022-05-15,18.6,23.7,10.7,32.4,69,87
北京,2022,6,2022-06-15,19.9,26.0,14.6,3.1,72,60
北京,2022,7,2022-07-15,23.5,28.5,19.0,43.2,64,88
北京,2022,8,2022-08-15,21.8,26.0,18.3,16.6,59,86
北京,2022,9,2022-09-15,16.1,24.0,8.6,1.2,58,93
北京,2022,10,2022-10-15,12.4,18.2,6.1,6.3,78,66
北京,2022,11,2022-11-15,6.4,12.2,-0.8,3.4,39,20
北京,2022,12,2022-12-15,1.7,8.2,-4.3,39.2,65,59
北京,2023,1,2023-01-15,0.4,4.2,-6.8,6.2,58,91
北京,2023,2,2023-02-15,3.0,6.5,-1.3,6.3,65,48
北京,2023,3,2023-03-15,6.1,13.1,-1.9,31.1,66,78
北京,2023,4,2023-04-15,10.4,16.9,7.4,14.1,62,97
北京,2023,5,2023-05-15,18.6,23.0,14.5,9.7,59,76
北京,2023,6,2023-06-15,23.0,27.0,19.8,12.3,85,37
北京,2023,7,2023-07-15,25.9,31.0,20.8,77.4,81,145
北京,2023,8,2023-08-15,23.4,27.0,16.3,41.3,52,72
北京,2023,9,2023-09-15,18.1,21.1,12.2,30.0,91,71
北京,2023,10,2023-10-15,9.1,17.1,3.4,26.7,81,58
北京,2023,11,2023-11-15,5.3,12.0,-0.9,13.3,54,75
北京,2023,12,2023-12-15,2.4,7.4,-3.4,24.9,74,69
北京,2024,1,2024-01-15,-1.6,5.3,-7.3,12.4,63,33
北京,2024,2,2024-02-15,0.2,3.3,-7.8,18.6,98,76
北京,2024,3,2024-03-15,5.5,11.1,-1.8,5.3,45,117
北京,2024,4,2024-04-15,9.4,16.0,1.7,0.4,78,153
北京,2024,5,2024-05-15,17.5,21.8,9.8,33.8,75,27
北京,2024,6,2024-06-15,21.4,25.7,18.1,1.4,77,116
北京,2024,7,2024-07-15,26.2,34.1,21.1,31.5,62,62
北京,2024,8,2024-08-15,22.4,29.0,18.7,51.6,73,51
北京,2024,9,2024-09-15,16.5,24.5,11.3,34.4,62,61
北京,2024,10,2024-10-15,12.0,19.4,8.0,25.2,78,168
北京,2024,11,2024-11-15,5.5,11.1,-1.3,27.8,84,89
北京,2024,12,2024-12-15,3.5,8.7,-3.4,6.2,57,74
北京,2025,1,2025-01-15,-0.2,3.5,-6.3,20.3,48,105
北京,2025,2,2025-02-15,0.8,5.4,-5.1,2.9,48,34
北京,2025,3,2025-03-15,8.5,14.3,1.9,8.6,81,148
北京,2025,4,2025-04-15,13.3,18.8,7.3,41.5,45,61
北京,2025,5,2025-05-15,19.8,23.9,16.3,49.9,64,70
北京,2025,6,2025-06-15,23.1,30.2,17.3,40.7,71,36
北京,2025,7,2025-07-15,24.2,28.5,18.6,65.1,74,135
北京,2025,8,2025-08-15,23.6,31.0,20.2,42.6,55,94
北京,2025,9,2025-09-15,18.1,23.9,10.8,23.0,95,92
北京,2025,10,2025-10-15,12.4,19.6,4.7,28.2,61,95
北京,2025,11,2025-11-15,9.3,14.2,6.2,9.9,74,77
北京,2025,12,2025-12-15,1.5,5.3,-5.5,16.4,80,68
上海,2021,1,2021-01-15,5.0,12.3,-0.4,2.0,83,125
上海,2021,2,2021-02-15,6.7,12.6,-0.3,3.0,79,77
上海,2021,3,2021-03-15,10.6,14.5,3.2,11.9,65,65
上海,2021,4,2021-04-15,18.0,21.6,12.2,5.8,68,101
上海,2021,5,2021-05-15,22.4,28.3,14.8,21.4,69,69
上海,2021,6,2021-06-15,27.3,35.0,21.8,20.8,58,20
上海,2021,7,2021-07-15,26.9,33.7,22.6,1.2,73,132
上海,2021,8,2021-08-15,25.9,29.9,22.0,170.5,82,121
上海,2021,9,2021-09-15,23.4,28.9,18.6,11.6,80,138
上海,2021,10,2021-10-15,17.7,21.6,11.4,69.2,65,38
上海,2021,11,2021-11-15,9.2,14.8,5.1,28.9,52,58
上海,2021,12,2021-12-15,6.8,12.4,-0.5,8.4,75,95
上海,2022,1,2022-01-15,5.6,10.8,0.4,0.2,59,73
上海,2022,2,2022-02-15,6.2,9.8,0.9,37.6,62,82
上海,2022,3,2022-03-15,10.0,13.9,3.6,0.8,75,58
上海,2022,4,2022-04-15,19.5,27.2,12.5,9.7,85,47
上海,2022,5,2022-05-15,21.5,28.4,14.6,22.9,52,91
上海,2022,6,2022-06-15,28.4,33.9,23.7,32.8,70,94
上海,2022,7,2022-07-15,30.3,34.6,23.1,1.4,65,79
上海,2022,8,2022-08-15,26.9,33.1,20.8,4.8,65,52
上海,2022,9,2022-09-15,21.6,26.6,16.0,52.4,68,43
上海,2022,10,2022-10-15,16.7,19.7,13.2,27.7,72,86
上海,2022,11,2022-11-15,12.0,16.6,7.7,17.1,69,20
上海,2022,12,2022-12-15,6.3,10.6,-0.8,16.2,70,75
上海,2023,1,2023-01-15,6.3,13.1,1.0,0.5,71,77
上海,2023,2,2023-02-15,6.0,12.6,-0.3,9.8,40,34
上海,2023,3,2023-03-15,11.4,16.8,4.0,34.7,72,61
上海,2023,4,2023-04-15,17.7,20.7,12.5,4.0,88,108
上海,2023,5,2023-05-15,22.3,29.7,14.4,24.8,42,92
上海,2023,6,2023-06-15,26.9,34.6,23.2,27.0,71,56
上海,2023,7,2023-07-15,29.5,34.4,23.0,1.4,59,88
上海,2023,8,2023-08-15,25.8,32.2,18.9,111.3,80,41
上海,2023,9,2023-09-15,23.3,28.1,17.5,11.7,87,66
上海,2023,10,2023-10-15,16.8,24.6,11.4,4.3,78,40
上海,2023,11,2023-11-15,9.2,17.1,3.7,4.2,76,86
上海,2023,12,2023-12-15,7.0,11.3,2.1,17.0,77,90
上海,2024,1,2024-01-15,5.2,8.4,0.6,41.4,64,56
上海,2024,2,2024-02-15,4.8,9.4,0.3,2.8,56,103
上海,2024,3,2024-03-15,11.3,17.1,6.4,18.8,88,60
上海,2024,4,2024-04-15,14.4,20.5,9.9,36.9,39,86
上海,2024,5,2024-05-15,23.0,26.7,17.1,3.1,66,123
上海,2024,6,2024-06-15,26.1,33.0,18.6,3.0,48,104
上海,2024,7,2024-07-15,30.0,34.4,24.5,112.0,59,111
上海,2024,8,2024-08-15,27.6,30.6,23.6,36.8,62,39
上海,2024,9,2024-09-15,22.5,26.4,14.8,46.8,78,73
上海,2024,10,2024-10-15,18.1,21.9,11.4,52.6,96,39
上海,2024,11,2024-11-15,13.2,16.8,8.2,53.3,85,24
上海,2024,12,2024-12-15,7.0,10.8,1.0,25.3,61,102
上海,2025,1,2025-01-15,5.2,12.2,1.6,24.8,67,103
上海,2025,2,2025-02-15,8.1,12.0,2.9,3.7,64,85
上海,2025,3,2025-03-15,10.7,17.1,5.5,8.6,68,72
上海,2025,4,2025-04-15,15.6,22.7,10.8,22.0,56,103
上海,2025,5,2025-05-15,24.8,31.5,21.8,115.2,51,132
上海,2025,6,2025-06-15,28.5,35.8,24.2,2.3,82,108
上海,2025,7,2025-07-15,30.5,36.4,24.0,30.9,73,102
上海,2025,8,2025-08-15,31.3,36.6,26.3,3.1,64,39
上海,2025,9,2025-09-15,22.6,29.1,18.5,23.1,78,52
上海,2025,10,2025-10-15,19.0,24.2,11.3,7.3,61,48
上海,2025,11,2025-11-15,11.3,18.4,8.0,10.5,64,99
上海,2025,12,2025-12-15,6.3,11.2,-0.0,5.1,71,50
广州,2021,1,2021-01-15,10.7,16.3,3.0,15.4,66,100
广州,2021,2,2021-02-15,11.4,14.6,4.6,2.5,76,96
广州,2021,3,2021-03-15,14.2,21.8,6.6,7.1,94,56
广州,2021,4,2021-04-15,19.7,26.5,13.0,35.7,67,46
广州,2021,5,2021-05-15,28.2,32.3,22.7,43.6,74,89
广州,2021,6,2021-06-15,33.3,38.3,25.9,3.7,56,107
广州,2021,7,2021-07-15,32.8,36.5,28.4,23.0,85,97
广州,2021,8,2021-08-15,33.0,40.5,25.5,201.8,41,56
广州,2021,9,2021-09-15,28.9,36.0,23.7,8.6,65,23
广州,2021,10,2021-10-15,21.5,27.6,16.9,7.7,77,91
广州,2021,11,2021-11-15,14.2,19.3,9.9,10.8,64,69
广州,2021,12,2021-12-15,12.3,17.2,8.2,17.9,63,101
广州,2022,1,2022-01-15,10.4,17.0,6.0,57.2,62,76
广州,2022,2,2022-02-15,13.4,20.8,10.0,29.0,64,51
广州,2022,3,2022-03-15,15.3,19.9,11.8,0.4,82,59
广州,2022,4,2022-04-15,24.9,32.2,19.0,9.5,71,61
广州,2022,5,2022-05-15,28.6,34.3,21.1,96.9,68,94
广州,2022,6,2022-06-15,31.8,36.4,25.7,20.5,78,72
广州,2022,7,2022-07-15,33.8,38.5,27.0,40.5,50,94
广州,2022,8,2022-08-15,32.1,36.3,26.7,53.6,63,96
广州,2022,9,2022-09-15,25.9,30.9,18.6,24.3,44,81
广州,2022,10,2022-10-15,20.4,26.9,15.9,36.5,53,86
广州,2022,11,2022-11-15,14.7,18.4,9.3,17.9,66,81
广州,2022,12,2022-12-15,13.8,19.0,6.9,6.9,79,110
广州,2023,1,2023-01-15,11.1,15.4,6.4,8.0,93,86
广州,2023,2,2023-02-15,11.7,15.4,4.7,45.5,73,73
广州,2023,3,2023-03-15,14.5,22.0,6.9,4.4,79,97
广州,2023,4,2023-04-15,23.2,28.3,18.0,8.7,50,92
广州,2023,5,2023-05-15,30.6,38.3,25.7,16.4,68,170
广州,2023,6,2023-06-15,32.2,35.6,26.5,4.1,64,72
广州,2023,7,2023-07-15,34.0,41.3,28.8,29.3,57,75
广州,2023,8,2023-08-15,35.3,39.4,28.5,29.6,70,36
广州,2023,9,2023-09-15,27.6,33.7,21.1,1.2,75,93
广州,2023,10,2023-10-15,23.7,30.4,19.0,16.2,68,44
广州,2023,11,2023-11-15,15.1,19.9,10.1,0.3,60,105
广州,2023,12,2023-12-15,11.1,17.1,5.4,10.8,69,60
广州,2024,1,2024-01-15,12.0,17.2,6.9,11.1,67,53
广州,2024,2,2024-02-15,10.2,16.4,4.9,4.8,61,68
广州,2024,3,2024-03-15,15.4,22.0,9.2,2.4,64,150
广州,2024,4,2024-04-15,20.4,23.5,14.0,28.2,81,121
广州,2024,5,2024-05-15,29.4,34.2,22.9,14.1,70,125
广州,2024,6,2024-06-15,30.8,37.3,27.7,3.4,74,90
广州,2024,7,2024-07-15,33.4,38.7,27.0,53.0,53,112
广州,2024,8,2024-08-15,30.7,35.4,25.7,79.0,60,104
广州,2024,9,2024-09-15,25.0,29.8,21.9,9.7,65,34
